Year_Month,Card Type,Travel_Mode,Trip
Apr-17,Employee,Bus,65750
Aug-22,Day Pass Child/Youth w/o SAF,Bus,9
Aug-21,Adult Single Bus Trip 2,Bus,29
Dec-17,Employee,Bus,69644
Aug-21,Adult Single Bus Trip 1,Bus,62
Feb-17,Employee,Bus,69228
Dec-19,Day Pass Child/Youth w/o SAF,Bus,84
Jun-24,Adult Single Bus Trip 1,Bus,113
Mar-24,Adult Single Bus Trip 3,Bus,26
May-22,Adult Single Bus Trip 3,Bus,16
Oct-21,Child/Youth Single Bus Trip 3,Bus,3
Apr-18,Employee,Bus,70833
Jan-21,Adult Single Bus Trip 3,Bus,9
Mar-23,Adult Single Bus Trip 3,Bus,35
Nov-21,Adult Single Bus Trip 2,Bus,34
Mar-19,School Student,Bus,3406548
Apr-22,Adult Single Bus Trip 3,Bus,148
Sep-22,Adult Single Bus Trip 1,Bus,81
Jun-20,Adult Single Bus Trip 1,Bus,107
Jun-23,Day Pass Child/Youth w/o SAF,Bus,32
Jul-19,Day Pass Child/Youth w/o SAF,Bus,61
Nov-21,Adult Single Bus Trip 3,Bus,10
Feb-20,Adult Single Bus Trip 2,Bus,23497
Sep-20,Child/Youth,Bus,715957
Nov-21,Employee,Bus,47652
Mar-24,Free Travel,Bus,29272
Jun-23,Adult Single Bus Trip 1,Bus,122
Jun-20,Day Pass Child/Youth w/o SAF,Bus,22
Aug-22,Adult Single Bus Trip 3,Bus,22
Oct-23,Child/Youth Single Bus Trip 1,Bus,1
Aug-17,Day Pass without SAF,Bus,15
Jan-21,Day Pass Child/Youth w/o SAF,Bus,2
May-21,On Demand,Bus,20804
Sep-21,On Demand,Bus,7547
Sep-20,On Demand,Bus,16714
Apr-21,On Demand,Bus,19530
Jan-18,School Student,Bus,186979
Dec-23,Adult Single Bus Trip 3,Bus,21
Jan-23,Child/Youth Single Bus Trip 1,Bus,4
Nov-23,Child/Youth Single Bus Trip 3,Bus,2
Oct-21,Adult Single Bus Trip 3,Bus,15
Feb-22,On Demand,Bus,18034
Jan-21,On Demand,Bus,15373
Apr-22,Child/Youth Single Bus Trip 1,Bus,12
Jun-22,Child/Youth Single Bus Trip 1,Bus,4
Mar-24,On Demand,Bus,30549
Jun-24,Day Pass Child/Youth w/o SAF,Bus,9
Nov-23,Child/Youth Single Bus Trip 2,Bus,1
Nov-18,On Demand,Bus,5377
Nov-21,Day Pass Child/Youth w/o SAF,Bus,3
Nov-22,Child/Youth Single Bus Trip 3,Bus,1
Aug-22,On Demand,Bus,21070
Oct-19,On Demand,Bus,25895
May-24,Child/Youth Single Bus Trip 3,Bus,1
May-20,Day Pass Child/Youth w/o SAF,Bus,1
Aug-21,Day Pass Child/Youth w/o SAF,Bus,4
Apr-22,On Demand,Bus,19661
Nov-20,On Demand,Bus,17146
Jul-18,On Demand,Bus,4117
Jun-24,On Demand,Bus,18924
May-24,On Demand,Bus,22170
Jul-16,Concession,Ferry,71362
Aug-16,Senior/Pensioner,Ferry,158521
Aug-16,Employee,Ferry,4780
Aug-16,School Student,Ferry,2701
Sep-16,Sgl Trip Ferry Adult,Ferry,46928
Oct-16,Sgl Trip Ferry Adult,Ferry,52692
Nov-16,Concession,Ferry,25891
Nov-16,Child/Youth,Ferry,76663
Dec-16,Sgl Trip Ferry Child/Youth,Ferry,16773
Jan-17,Senior/Pensioner,Ferry,220534
Apr-17,Sgl Trip Ferry Child/Youth,Ferry,15138
May-17,Concession,Ferry,28200
Jun-17,Adult,Ferry,791353
Jun-17,Free Travel,Ferry,2211
Jul-17,School Student,Ferry,1043
Aug-17,Adult,Ferry,759500
Aug-17,Sgl Trip Ferry Child/Youth,Ferry,11008
Aug-17,Concession,Ferry,27276
Sep-17,School Student,Ferry,1626
Sep-17,Senior/Pensioner,Ferry,172131
Sep-17,Adult,Ferry,810739
Sep-17,Child/Youth,Ferry,113007
Nov-17,School Student,Ferry,2444
Feb-18,Adult,Ferry,902195
Feb-18,School Student,Ferry,2904
Mar-18,Concession,Ferry,32530
Mar-18,Senior/Pensioner,Ferry,200909
Mar-18,School Student,Ferry,2544
Apr-18,Concession,Ferry,29908
May-18,Employee,Ferry,5203
Jun-18,Sgl Trip Ferry Child/Youth,Ferry,11086
Jul-18,Adult,Ferry,842678
Jul-18,Sgl Trip Ferry Child/Youth,Ferry,17510
Jul-18,CTP,Ferry,15079
Jul-18,Employee,Ferry,4458
Jul-18,Free Travel,Ferry,2174
Oct-18,Concession,Ferry,20365
Jan-19,Free Travel,Ferry,2397
Feb-19,Child/Youth,Ferry,67142
Mar-19,Sgl Trip Ferry Adult,Ferry,46412
Mar-19,Sgl Trip Ferry Child/Youth,Ferry,6437
Mar-19,Free Travel,Ferry,2303
May-19,Free Travel,Ferry,2331
Jul-19,Sgl Trip Ferry Adult,Ferry,35865
Jul-19,Sgl Trip Ferry Child/Youth,Ferry,15817
Aug-19,Child/Youth,Ferry,80831
Nov-19,Sgl Trip Ferry Adult,Ferry,36807
Nov-19,CTP,Ferry,169582
Jan-20,Child/Youth,Ferry,180915
Apr-20,Concession,Ferry,1639
May-20,Senior/Pensioner,Ferry,39819
