Year_Month,Card Type,Travel_Mode,Trip
May-22,Adult Single Bus Trip 1,Bus,106
Jan-20,Adult Single Bus Trip 3,Bus,7329
Oct-19,Day Pass without SAF,Bus,1091
Oct-19,Child/Youth Single Bus Trip 3,Bus,4514
Apr-19,Adult Single Bus Trip 3,Bus,17329
Aug-18,Senior/Pensioner,Bus,4327181
Jan-18,Child/Youth Single Bus Trip 3,Bus,12535
Aug-17,Child/Youth Single Bus Trip 2,Bus,24122
Feb-18,Child/Youth Single Bus Trip 3,Bus,5413
Nov-17,Child/Youth Single Bus Trip 2,Bus,23996
Oct-17,Child/Youth,Bus,1262367
Nov-16,Free Travel,Bus,36217
Oct-21,Employee,Bus,35329
Mar-21,Senior/Pensioner,Bus,3215739
Nov-20,School Student,Bus,1701786
Nov-17,Concession,Bus,1473370
Feb-17,Adult Single Bus Trip 1,Bus,167293
Oct-17,Child/Youth Single Bus Trip 2,Bus,31260
Apr-17,Child/Youth,Bus,1276586
Jan-23,CTP,Bus,5225867
Mar-21,Day Pass without SAF,Bus,725
Jun-18,Adult Single Bus Trip 1,Bus,119147
Feb-18,Adult,Bus,14158256
Jun-17,Adult,Bus,13139949
Jan-21,Child/Youth,Bus,887024
Mar-20,Senior/Pensioner,Bus,3068966
May-19,Child/Youth Single Bus Trip 2,Bus,14135
Oct-18,Employee,Bus,88362
Oct-17,Senior/Pensioner,Bus,4107245
Apr-17,Senior/Pensioner,Bus,3754438
Apr-18,Child/Youth Single Bus Trip 2,Bus,32744
May-17,Concession,Bus,2193095
Sep-19,Employee,Bus,91530
Mar-19,Day Pass without SAF,Bus,989
Nov-17,Child/Youth,Bus,1175200
Jun-17,Child/Youth Single Bus Trip 2,Bus,25954
Nov-16,Adult Single Bus Trip 1,Bus,190359
Nov-23,Adult,Bus,7332267
Aug-24,Child/Youth,Bus,635485
Nov-23,Senior/Pensioner,Bus,3352004
Jul-23,School Student,Bus,732360
Jun-23,Free Travel,Bus,28632
Apr-20,Free Travel,Bus,11618
Aug-18,Child/Youth Single Bus Trip 2,Bus,18873
Mar-17,Concession,Bus,2375998
Aug-16,Employee,Bus,73112
Jun-20,Child/Youth,Bus,605522
Feb-20,Child/Youth,Bus,1267671
Jul-19,Adult,Bus,15823165
May-24,Child/Youth,Bus,574343
Oct-23,Senior/Pensioner,Bus,3261947
Jan-23,Adult,Bus,5837688
Oct-22,Concession,Bus,774831
Dec-18,Adult Single Bus Trip 3,Bus,21892
Nov-18,Child/Youth Single Bus Trip 3,Bus,5046
Nov-17,School Student,Bus,2589339
Mar-24,Senior/Pensioner,Bus,3346829
May-23,Employee,Bus,60831
Sep-22,School Student,Bus,1050246
Oct-20,Free Travel,Bus,24881
Feb-22,Child/Youth,Bus,562929
Sep-16,Child/Youth,Bus,1130778
Jan-20,Child/Youth Single Bus Trip 1,Bus,18956
Sep-24,Day Pass without SAF,Bus,1270
Jan-21,Concession,Bus,499048
May-19,School Student,Bus,3592972
Mar-24,Child/Youth,Bus,669586
Feb-24,Free Travel,Bus,27664
Jul-24,Employee,Bus,74876
Jul-24,School Student,Bus,703393
Sep-22,Free Travel,Bus,24843
Aug-17,School Student,Bus,2871680
Sep-23,Child/Youth,Bus,745820
Apr-22,Concession,Bus,647357
Aug-18,Day Pass without SAF,Bus,294
Jan-22,CTP,Bus,2088109
Aug-16,School Student,Bus,3135595
Aug-21,Day Pass without SAF,Bus,405
Jun-19,Adult Single Bus Trip 2,Bus,42267
Dec-18,Free Travel,Bus,38642
Jan-24,Child/Youth,Bus,"955,597"
Jan-22,Adult,Bus,3280150
May-23,Adult Single Bus Trip 2,Bus,60
Mar-22,Child/Youth,Bus,542260
Sep-24,Employee,Bus,72682
Oct-23,CTP,Bus,6848735
Oct-22,School Student,Bus,1066215
Aug-20,Senior/Pensioner,Bus,2410075
Apr-23,Child/Youth Single Bus Trip 1,Bus,4
Oct-22,Adult Single Bus Trip 3,Bus,22
Dec-16,Employee,Bus,71339
Mar-18,Child/Youth Single Bus Trip 1,Bus,33439
Apr-18,Day Pass without SAF,Bus,111
Apr-21,Employee,Bus,60810
Aug-24,Senior/Pensioner,Bus,3400280
Feb-20,Child/Youth Single Bus Trip 3,Bus,2825
Oct-17,Day Pass without SAF,Bus,76
Mar-17,Child/Youth Single Bus Trip 3,Bus,8514
Dec-23,Employee,Bus,59638
Sep-24,Adult Single Bus Trip 1,Bus,126
Feb-21,Adult Single Bus Trip 2,Bus,33
Jun-19,Adult Single Bus Trip 1,Bus,80555
Nov-20,Adult Single Bus Trip 1,Bus,78
Sep-21,Adult Single Bus Trip 1,Bus,47
Apr-20,Day Pass without SAF,Bus,444
Mar-23,Adult Single Bus Trip 1,Bus,166
Jan-22,Adult Single Bus Trip 1,Bus,93
Dec-23,Day Pass without SAF,Bus,1002
Apr-23,Adult Single Bus Trip 2,Bus,38
Apr-21,Adult Single Bus Trip 3,Bus,17
Dec-21,Adult Single Bus Trip 3,Bus,19
Apr-21,Adult Single Bus Trip 1,Bus,73
Aug-23,Adult Single Bus Trip 2,Bus,40
May-23,Adult Single Bus Trip 3,Bus,50
Mar-21,Adult Single Bus Trip 3,Bus,19
Dec-18,Day Pass Child/Youth w/o SAF,Bus,29
Apr-20,Child/Youth Single Bus Trip 1,Bus,19
Jun-20,Child/Youth Single Bus Trip 2,Bus,21
Nov-22,Child/Youth Single Bus Trip 2,Bus,3
Nov-20,Adult Single Bus Trip 3,Bus,13
Jan-24,Adult Single Bus Trip 3,Bus,33
Oct-22,Adult Single Bus Trip 2,Bus,42
Jun-24,Adult Single Bus Trip 3,Bus,15
Feb-24,Adult Single Bus Trip 1,Bus,132
May-22,Adult Single Bus Trip 2,Bus,34
Sep-23,Adult Single Bus Trip 3,Bus,21
May-22,Day Pass Child/Youth w/o SAF,Bus,17
Aug-23,Adult Single Bus Trip 3,Bus,12
Jul-21,Adult Single Bus Trip 2,Bus,25
Nov-20,Child/Youth Single Bus Trip 3,Bus,4
Jul-21,Adult Single Bus Trip 3,Bus,11
Mar-20,On Demand,Bus,19475
Sep-19,CTP,Bus,286305
Jan-20,CTP,Bus,2628423
Jul-19,Child/Youth Single Bus Trip 3,Bus,5469
Jan-23,Adult Single Bus Trip 2,Bus,39
Sep-17,Child/Youth Single Bus Trip 1,Bus,45357
Jan-22,Child/Youth Single Bus Trip 1,Bus,2
Jul-18,Day Pass without SAF,Bus,263
Sep-19,Day Pass Child/Youth w/o SAF,Bus,64
Apr-18,Day Pass Child/Youth w/o SAF,Bus,8
Dec-22,Adult Single Bus Trip 3,Bus,23
Sep-21,Child/Youth Single Bus Trip 1,Bus,1
Aug-21,Adult Single Bus Trip 3,Bus,9
Sep-21,Day Pass Child/Youth w/o SAF,Bus,6
Oct-18,Day Pass Child/Youth w/o SAF,Bus,8
Feb-24,Child/Youth Single Bus Trip 1,Bus,4
Oct-21,Day Pass Child/Youth w/o SAF,Bus,2
Feb-22,Child/Youth Single Bus Trip 1,Bus,1
Sep-22,Day Pass Child/Youth w/o SAF,Bus,6
Apr-21,Day Pass Child/Youth w/o SAF,Bus,5
Jul-20,On Demand,Bus,16368
May-22,Child/Youth Single Bus Trip 2,Bus,4
Nov-22,Day Pass Child/Youth w/o SAF,Bus,11
Dec-20,Child/Youth Single Bus Trip 1,Bus,1
Sep-23,On Demand,Bus,21874
Jul-21,On Demand,Bus,9478
Oct-22,On Demand,Bus,20702
Dec-21,Child/Youth Single Bus Trip 1,Bus,1
Oct-18,On Demand,Bus,5295
Mar-24,Child/Youth Single Bus Trip 1,Bus,3
Jul-23,On Demand,Bus,22410
Jun-23,On Demand,Bus,21708
Jan-20,On Demand,Bus,25607
Jun-22,Child/Youth Single Bus Trip 2,Bus,2
Apr-24,On Demand,Bus,17668
Jul-16,Senior/Pensioner,Ferry,152188
Oct-16,Free Travel,Ferry,2081
Oct-16,Senior/Pensioner,Ferry,187265
Dec-16,Adult,Ferry,1050663
Jan-17,Concession,Ferry,28552
Jan-17,Adult,Ferry,1164945
Feb-17,Sgl Trip Ferry Adult,Ferry,56176
Feb-17,Concession,Ferry,23803
Apr-17,Free Travel,Ferry,2199
May-17,School Student,Ferry,2435
Jul-17,Employee,Ferry,4730
Oct-17,Free Travel,Ferry,2145
Oct-17,Sgl Trip Ferry Child/Youth,Ferry,11756
Dec-17,Employee,Ferry,5165
Jan-18,Concession,Ferry,29192
Jan-18,Child/Youth,Ferry,199548
Mar-18,Sgl Trip Ferry Child/Youth,Ferry,10095
Mar-18,Adult,Ferry,977515
Apr-18,Employee,Ferry,4990
Apr-18,Sgl Trip Ferry Child/Youth,Ferry,16375
Jun-18,Adult,Ferry,769271
Jul-18,Sgl Trip Ferry Adult,Ferry,44585
Aug-18,Sgl Trip Ferry Adult,Ferry,41119
Feb-19,CTP,Ferry,47051
Mar-19,Senior/Pensioner,Ferry,195448
Mar-19,Concession,Ferry,28579
Apr-19,Free Travel,Ferry,2306
May-19,Employee,Ferry,5002
May-19,Adult,Ferry,787055
May-19,School Student,Ferry,3720
Jun-19,Adult,Ferry,756440
Jun-19,Employee,Ferry,4698
Jul-19,Employee,Ferry,4647
Oct-19,Child/Youth,Ferry,121078
Dec-19,Child/Youth,Ferry,132933
Jan-20,CTP,Ferry,232669
Jan-20,Employee,Ferry,5270
Feb-20,CTP,Ferry,192978
May-20,Employee,Ferry,1370
May-20,Adult,Ferry,101720
May-20,Free Travel,Ferry,551
Jun-20,Child/Youth,Ferry,20127
Jun-20,Concession,Ferry,9065
Jul-20,Sgl Trip Ferry Child/Youth,Ferry,5740
Aug-20,Employee,Ferry,2368
Sep-20,Child/Youth,Ferry,28018
Oct-20,CTP,Ferry,128751
Oct-20,Sgl Trip Ferry Child/Youth,Ferry,5240
Dec-20,Concession,Ferry,11777
Jan-21,Senior/Pensioner,Ferry,94831
Jan-21,Concession,Ferry,13986
Feb-21,School Student,Ferry,9873
Mar-21,Free Travel,Ferry,1492
Apr-21,Senior/Pensioner,Ferry,178749
May-21,CTP,Ferry,192875
May-21,Free Travel,Ferry,1648
Aug-21,Employee,Ferry,739
Nov-21,Child/Youth,Ferry,19692
Dec-21,CTP,Ferry,217890
Dec-21,Free Travel,Ferry,1331
Jan-22,Senior/Pensioner,Ferry,96703
Jan-22,Concession,Ferry,10798
Feb-22,CTP,Ferry,184821
Feb-22,Child/Youth,Ferry,23157
Mar-22,Sgl Trip Ferry Child/Youth,Ferry,5201
Jun-22,Employee,Ferry,5103
Jun-22,Concession,Ferry,18557
Aug-22,CTP,Ferry,341515
Aug-22,Child/Youth,Ferry,44986
Sep-22,Adult,Ferry,302439
Sep-22,Free Travel,Ferry,1485
Oct-22,Adult,Ferry,325122
Oct-22,Concession,Ferry,13911
Nov-22,Concession,Ferry,16325
Dec-22,Sgl Trip Ferry Adult,Ferry,40557
Dec-22,Child/Youth,Ferry,103735
Feb-23,Sgl Trip Ferry Child/Youth,Ferry,6722
Mar-23,Concession,Ferry,20678
Apr-23,Employee,Ferry,3908
Apr-23,Sgl Trip Ferry Child/Youth,Ferry,21510
May-23,Adult,Ferry,342935
May-23,Sgl Trip Ferry Adult,Ferry,22430
Sep-23,CTP,Ferry,556722
Sep-23,Concession,Ferry,19627
Oct-23,Free Travel,Ferry,1941
Jan-24,CTP,Ferry,917387
Feb-24,Adult,Ferry,444347
Feb-24,Sgl Trip Ferry Adult,Ferry,35042
Mar-24,CTP,Ferry,893411
Mar-24,Concession,Ferry,26459
Apr-24,School Student,Ferry,5740
Apr-24,Free Travel,Ferry,1931
Jun-24,CTP,Ferry,611038
Jul-24,Sgl Trip Ferry Adult,Ferry,27049
Jul-16,Child/Youth,Ferry,108450
Sep-16,Adult,Ferry,783747
Nov-16,Free Travel,Ferry,2271
Feb-17,Free Travel,Ferry,1897
Nov-18,Employee,Ferry,4554
Mar-19,Child/Youth,Ferry,69720
Jul-19,School Student,Ferry,1752
Jan-21,Employee,Ferry,3292
Feb-21,Sgl Trip Ferry Adult,Ferry,4346
Feb-21,Free Travel,Ferry,1444
May-21,Child/Youth,Ferry,31202
Sep-21,CTP,Ferry,26730
Nov-21,Sgl Trip Ferry Child/Youth,Ferry,2455
Jul-22,Sgl Trip Ferry Adult,Ferry,21046
Aug-22,Sgl Trip Ferry Child/Youth,Ferry,9912
Apr-23,Free Travel,Ferry,1571
Jan-19,Sgl Trip Ferry Child/Youth,Ferry,19149
Feb-19,Senior/Pensioner,Ferry,191521
Jan-17,School Student,Ferry,139
Sep-20,Sgl Trip Ferry Adult,Ferry,2772
Dec-16,Free Travel,Ferry,2219
Jun-20,Sgl Trip Ferry Child/Youth,Ferry,2299
Jan-24,Day Pass without SAF,Ferry,54
Sep-21,Sgl Trip Ferry Child/Youth,Ferry,367
Mar-20,Day Pass without SAF,Ferry,17
Mar-24,Day Pass without SAF,Ferry,42
Dec-18,Day Pass without SAF,Ferry,4
Jan-19,Day Pass without SAF,Ferry,8
May-23,Day Pass Child/Youth w/o SAF,Ferry,192
Jul-17,CTP,Ferry,2138
Jul-24,Day Pass Child/Youth w/o SAF,Ferry,79
Oct-21,Day Pass without SAF,Ferry,2
Jun-21,Day Pass Child/Youth w/o SAF,Ferry,192
Oct-22,Day Pass without SAF,Ferry,11
May-19,Day Pass without SAF,Ferry,22
Jan-20,Day Pass Child/Youth w/o SAF,Ferry,4
Sep-20,Day Pass without SAF,Ferry,4
Mar-23,Day Pass without SAF,Ferry,14
Jul-24,School Student,Ferry,4669
May-20,Day Pass without SAF,Ferry,2
Aug-17,Day Pass Child/Youth w/o SAF,Ferry,3
Sep-16,Sgl Trip LR Adult,Light rail,2773
Oct-16,Sgl Trip LR Child/Youth,Light rail,715
Nov-16,Sgl Trip LR Child/Youth,Light rail,344
Jan-17,Sgl Trip LR Child/Youth,Light rail,735
Feb-17,Sgl Trip LR Adult,Light rail,2500
Mar-17,School Student,Light rail,7282
Apr-17,Adult,Light rail,587812
Apr-17,Sgl Trip LR Child/Youth,Light rail,821
May-17,Concession,Light rail,32391
May-17,Senior/Pensioner,Light rail,144208
Jun-17,Free Travel,Light rail,956
Jul-17,School Student,Light rail,2976
Aug-17,Concession,Light rail,33944
Aug-17,Senior/Pensioner,Light rail,125345
Sep-17,Adult,Light rail,557826
Oct-17,Free Travel,Light rail,946
Oct-17,Adult,Light rail,628033
Nov-17,Adult,Light rail,649009
Jan-18,Concession,Light rail,6681
Mar-18,Senior/Pensioner,Light rail,143404
Mar-18,Child/Youth,Light rail,35724
Apr-18,Child/Youth,Light rail,48611
May-18,CTP,Light rail,7480
May-18,School Student,Light rail,8352
May-18,Sgl Trip LR Adult,Light rail,3668
Jul-18,Senior/Pensioner,Light rail,137015
Aug-18,Employee,Light rail,916
Aug-18,Child/Youth,Light rail,38176
Sep-18,Free Travel,Light rail,761
Oct-18,CTP,Light rail,10940
Nov-18,Employee,Light rail,1300
Dec-18,Senior/Pensioner,Light rail,140990
Jan-19,CTP,Light rail,18576
Jan-19,Free Travel,Light rail,593
Feb-19,Child/Youth,Light rail,42123
Apr-19,CTP,Light rail,31478
May-19,Child/Youth,Light rail,37874
May-19,Senior/Pensioner,Light rail,161232
Jun-19,Sgl Trip LR Adult,Light rail,2841
Jul-19,Senior/Pensioner,Light rail,169509
Jul-19,Adult,Light rail,669127
Jul-19,Concession,Light rail,33597
Aug-19,Senior/Pensioner,Light rail,168039
Sep-19,Senior/Pensioner,Light rail,148612
Sep-19,Sgl Trip LR Adult,Light rail,2291
Oct-19,Adult,Light rail,631702
Nov-19,Child/Youth,Light rail,46507
Nov-19,Senior/Pensioner,Light rail,170285
Nov-19,Employee,Light rail,1751
Dec-19,Senior/Pensioner,Light rail,268570
Dec-19,Employee,Light rail,3226
Jan-20,Sgl Trip LR Child/Youth,Light rail,4367
Mar-20,CTP,Light rail,194518
Mar-20,Sgl Trip LR Adult,Light rail,4738
Apr-20,Employee,Light rail,825
Apr-20,Sgl Trip LR Child/Youth,Light rail,47
Apr-20,Sgl Trip LR Adult,Light rail,122
Apr-20,Day Pass without SAF,Light rail,11
May-20,Child/Youth,Light rail,11489
May-20,Employee,Light rail,1119
May-20,Sgl Trip LR Adult,Light rail,387
Jun-20,CTP,Light rail,140495
Aug-20,Sgl Trip LR Adult,Light rail,451
Sep-20,Sgl Trip LR Adult,Light rail,634
Sep-20,Concession,Light rail,68439
Sep-20,Sgl Trip LR Child/Youth,Light rail,394
Nov-20,Employee,Light rail,5995
Dec-20,Sgl Trip LR Adult,Light rail,1418
Dec-20,Day Pass without SAF,Light rail,21
Jan-21,CTP,Light rail,309592
Feb-21,CTP,Light rail,385649
Apr-21,CTP,Light rail,521713
May-21,Sgl Trip LR Adult,Light rail,1663
May-21,Sgl Trip LR Child/Youth,Light rail,992
May-21,Free Travel,Light rail,2610
Aug-21,CTP,Light rail,75088
Dec-21,Concession,Light rail,68888
Dec-21,Employee,Light rail,5869
Dec-21,Day Pass without SAF,Light rail,40
Jan-22,Sgl Trip LR Adult,Light rail,1067
Feb-22,School Student,Light rail,35281
Mar-22,Senior/Pensioner,Light rail,266341
Mar-22,Free Travel,Light rail,2527
May-22,Senior/Pensioner,Light rail,306419
May-22,Sgl Trip LR Adult,Light rail,2277
May-22,Concession,Light rail,147144
May-22,Sgl Trip LR Child/Youth,Light rail,915
Jun-22,Senior/Pensioner,Light rail,337616
Aug-22,Adult,Light rail,982069
Aug-22,Sgl Trip LR Adult,Light rail,3200
Sep-22,Senior/Pensioner,Light rail,305705
Sep-22,Concession,Light rail,202936
Oct-22,Child/Youth,Light rail,85426
Oct-22,School Student,Light rail,20003
Nov-22,Child/Youth,Light rail,66409
Nov-22,Sgl Trip LR Adult,Light rail,3875
Jan-23,Senior/Pensioner,Light rail,358571
Feb-23,Adult,Light rail,1156528
Feb-23,Sgl Trip LR Adult,Light rail,3896
Mar-23,Child/Youth,Light rail,79402
May-23,Senior/Pensioner,Light rail,376123
Jun-23,Adult,Light rail,1215247
Jun-23,Day Pass without SAF,Light rail,54
Jul-23,School Student,Light rail,18370
Aug-23,School Student,Light rail,40469
Aug-23,Sgl Trip LR Adult,Light rail,4586
Sep-23,Day Pass Child/Youth w/o SAF,Light rail,2
Sep-23,Day Pass without SAF,Light rail,41
Oct-23,Sgl Trip LR Child/Youth,Light rail,1770
Oct-23,Senior/Pensioner,Light rail,403177
Nov-23,Child/Youth,Light rail,82530
Nov-23,Day Pass without SAF,Light rail,23
Dec-23,Employee,Light rail,10667
Dec-23,Adult,Light rail,1307770
Jan-24,Child/Youth,Light rail,189990
Jan-24,Free Travel,Light rail,2929
Feb-24,Child/Youth,Light rail,118509
Feb-24,Sgl Trip LR Adult,Light rail,4736
Feb-24,Day Pass without SAF,Light rail,63
Mar-24,School Student,Light rail,48018
Apr-24,Sgl Trip LR Adult,Light rail,3791
Apr-24,Day Pass without SAF,Light rail,61
May-24,Free Travel,Light rail,3098
May-24,Day Pass without SAF,Light rail,51
May-17,Free Travel,Light rail,936
Jun-17,School Student,Light rail,4961
Feb-19,Sgl Trip LR Adult,Light rail,2796
Jul-23,Day Pass Child/Youth w/o SAF,Light rail,3
Sep-17,School Student,Light rail,4709
May-18,Day Pass without SAF,Light rail,1
Oct-16,Employee,Light rail,1
Mar-20,Day Pass Child/Youth w/o SAF,Light rail,1
May-19,Day Pass Child/Youth w/o SAF,Light rail,9
Jul-16,LR-MST,Light rail,24913
Jul-16,Senior/Pensioner,Train,2567262
Aug-16,Employee,Train,304666
Nov-16,Sgl Trip Rail Child/Youth,Train,51606
Nov-16,School Student,Train,1013962
Nov-16,Concession,Train,1707681
Jan-17,Senior/Pensioner,Train,2566223
Jan-17,Employee,Train,259349
Mar-17,Senior/Pensioner,Train,2983728
Apr-17,Employee,Train,260847
May-17,Employee,Train,332707
Jul-17,Sgl Trip Rail Adult,Train,330262
Sep-17,Concession,Train,2208678
Oct-17,Concession,Train,2229618
Jan-18,Employee,Train,237035
Jan-18,Free Travel,Train,24340
Feb-18,Child/Youth,Train,1013582
Feb-18,Free Travel,Train,27068
Mar-18,Concession,Train,2756796
Mar-18,Sgl Trip Rail Adult,Train,361338
Mar-18,Child/Youth,Train,1149786
May-18,Senior/Pensioner,Train,3076313
May-18,Free Travel,Train,32251
Jul-18,Senior/Pensioner,Train,2906558
Jul-18,Sgl Trip Rail Adult,Train,273148
Oct-18,Adult,Train,26675966
Nov-18,Adult,Train,27025348
Nov-18,Day Pass without SAF,Train,459
Dec-18,Senior/Pensioner,Train,2815946
Jan-19,CTP,Train,559514
Feb-19,Child/Youth,Train,1030042
Feb-19,Free Travel,Train,32805
Mar-19,Senior/Pensioner,Train,3059039
Apr-19,Employee,Train,304321
Apr-19,Senior/Pensioner,Train,2898742
Apr-19,Concession,Train,2257676
Apr-19,Sgl Trip Rail Adult,Train,241881
Jul-19,Senior/Pensioner,Train,2993919
Aug-19,Senior/Pensioner,Train,2993017
Aug-19,School Student,Train,1273508
Aug-19,Sgl Trip Rail Child/Youth,Train,44548
Sep-19,School Student,Train,1156754
Oct-19,Sgl Trip Rail Adult,Train,201464
Nov-19,Adult,Train,23606323
Nov-19,Senior/Pensioner,Train,3041509
Nov-19,Sgl Trip Rail Adult,Train,199332
Nov-19,Concession,Train,1706591
Dec-19,Sgl Trip Rail Adult,Train,212735
Jan-20,Employee,Train,303539
Jan-20,CTP,Train,3416625
Jan-20,Sgl Trip Rail Child/Youth,Train,67572
Feb-20,CTP,Train,3621285
Feb-20,Sgl Trip Rail Adult,Train,159957
Mar-20,School Student,Train,854274
Apr-20,Concession,Train,169942
Jun-20,CTP,Train,1900026
Aug-20,School Student,Train,891939
Sep-20,Adult,Train,9172681
Oct-20,CTP,Train,2817668
Oct-20,Free Travel,Train,18019
Dec-20,Adult,Train,9225046
Dec-20,Employee,Train,226494
Jan-21,Sgl Trip Rail Child/Youth,Train,29775
Mar-21,Sgl Trip Rail Child/Youth,Train,28028
Apr-21,CTP,Train,4379493
Apr-21,Free Travel,Train,23328
Aug-21,Concession,Train,122594
Sep-21,Concession,Train,130994
Sep-21,Sgl Trip Rail Child/Youth,Train,5699
Oct-21,Senior/Pensioner,Train,1045123
Oct-21,Free Travel,Train,10412
Dec-21,Child/Youth,Train,562600
Dec-21,CTP,Train,3497237
Jan-22,Sgl Trip Rail Adult,Train,40368
Feb-22,Adult,Train,6040182
Feb-22,Concession,Train,707095
Feb-22,Sgl Trip Rail Child/Youth,Train,23762
Mar-22,Concession,Train,1170947
Apr-22,Child/Youth,Train,832396
Apr-22,Free Travel,Train,16992
Apr-22,School Student,Train,398546
Jun-22,CTP,Train,5787575
Aug-22,Sgl Trip Rail Adult,Train,68780
Oct-22,Senior/Pensioner,Train,2046978
Oct-22,Adult,Train,9482179
Oct-22,Sgl Trip Rail Child/Youth,Train,38905
Nov-22,Adult,Train,8160819
Nov-22,School Student,Train,684882
Nov-22,Child/Youth,Train,443403
Nov-22,Day Pass without SAF,Train,629
Dec-22,Sgl Trip Rail Child/Youth,Train,63508
Dec-22,Free Travel,Train,20288
Mar-23,Day Pass without SAF,Train,753
Apr-23,Adult,Train,9567193
Apr-23,School Student,Train,352915
May-23,Senior/Pensioner,Train,2363546
May-23,Free Travel,Train,23881
Jul-23,School Student,Train,515761
Jul-23,CTP,Train,8136606
Aug-23,Day Pass without SAF,Train,954
Sep-23,Day Pass without SAF,Train,946
Nov-23,Adult,Train,11520770
Nov-23,Sgl Trip Rail Adult,Train,98566
Feb-24,Concession,Train,1208277
Feb-24,Employee,Train,224493
Mar-24,School Student,Train,1097497
Mar-24,Employee,Train,230790
Apr-24,Sgl Trip Rail Adult,Train,84587
May-24,CTP,Train,10112517
May-24,Day Pass without SAF,Train,1013
Jun-24,CTP,Train,9158776
Jul-16,Free Travel,Train,24395
Nov-17,Free Travel,Train,32193
Feb-20,Concession,Train,1536386
Mar-20,Concession,Train,1470619
Aug-20,Day Pass Child/Youth w/o SAF,Train,7
Nov-20,Child/Youth,Train,514868
Aug-21,Day Pass without SAF,Train,432
May-23,School Student,Train,1169300
Dec-23,Employee,Train,225374
Apr-24,Employee,Train,223523
Mar-17,Concession,Train,2874972
Jun-17,Sgl Trip Rail Child/Youth,Train,60524
Oct-21,School Student,Train,245858
Jan-22,Day Pass without SAF,Train,574
Jun-19,Concession,Train,1808606
Jul-23,Day Pass Child/Youth w/o SAF,Train,257
Jul-18,Day Pass Child/Youth w/o SAF,Train,11
Nov-23,Day Pass Child/Youth w/o SAF,Train,99
May-17,Sgl Trip Rail Adult,Train,293744
Nov-20,School Student,Train,900820
May-23,Employee,Train,229190
Nov-22,Day Pass Child/Youth w/o SAF,Train,137
Jan-21,School Student,Train,50576
Aug-17,Day Pass Child/Youth w/o SAF,Train,9
Oct-18,Day Pass Child/Youth w/o SAF,Train,10
Mar-18,Day Pass Child/Youth w/o SAF,Train,4
Jun-19,Employee,Metro,10974
Jul-19,Adult,Metro,1390001
Aug-19,Employee,Metro,9626.619657
Aug-19,Adult,Metro,1437608.153
Oct-19,Free Travel,Metro,1993.975411
Jan-20,Concession,Metro,108098
Feb-20,Sgl Trip Rail Adult,Metro,5660
May-20,Free Travel,Metro,375
Jun-20,Child/Youth,Metro,46163
Feb-21,School Student,Metro,103196
Mar-21,Child/Youth,Metro,69779
May-21,Sgl Trip Rail Child/Youth,Metro,3857
Jun-21,Child/Youth,Metro,55744
Jun-21,Concession,Metro,104679
Aug-21,Adult,Metro,132635
Sep-21,School Student,Metro,478
Nov-21,Child/Youth,Metro,55977
Nov-21,School Student,Metro,116422
Feb-23,Concession,Metro,126243
Apr-23,Adult,Metro,692354
May-23,Sgl Trip Rail Adult,Metro,4280
Nov-23,Free Travel,Metro,1674
Nov-23,School Student,Metro,166224
Jan-24,Senior/Pensioner,Metro,131751
Apr-24,Senior/Pensioner,Metro,137017
May-24,Concession,Metro,209496
Jul-19,Sgl Trip Rail Adult,Metro,10958
Sep-19,Concession,Metro,188829
Nov-19,Day Pass without SAF,Metro,17
Dec-19,Employee,Metro,9472
Jan-20,Senior/Pensioner,Metro,130685
Feb-20,Free Travel,Metro,1583
Jul-20,Adult,Metro,522269
Aug-20,Free Travel,Metro,844
Jan-21,CTP,Metro,180974
Jun-21,Sgl Trip Rail Adult,Metro,2213
Jan-22,Senior/Pensioner,Metro,48621
Nov-23,CTP,Metro,611217
Jan-24,Free Travel,Metro,1185
May-24,Child/Youth,Metro,73088
Jul-19,Free Travel,Metro,2159
Oct-19,Adult,Metro,1461547.869
Nov-19,Adult,Metro,1368787
Mar-20,Sgl Trip Rail Adult,Metro,3309
May-21,Adult,Metro,784759
Oct-21,Adult,Metro,280790
Dec-21,Sgl Trip Rail Adult,Metro,3228
Sep-22,Child/Youth,Metro,88386
Apr-23,Free Travel,Metro,1154
May-23,Free Travel,Metro,1470
Nov-23,Employee,Metro,10148
Jun-24,Free Travel,Metro,1631
Sep-19,Free Travel,Metro,1872
Oct-19,CTP,Metro,148911.5375
Jan-21,Day Pass without SAF,Metro,6
May-22,Sgl Trip Rail Adult,Metro,4086
Jan-23,Sgl Trip Rail Adult,Metro,5058
Jul-23,Sgl Trip Rail Adult,Metro,5401
Feb-24,Sgl Trip Rail Adult,Metro,4015
May-19,Sgl Trip Rail Child/Youth,Metro,332
Jun-19,Free Travel,Metro,2296
Jul-19,School Student,Metro,45109
Nov-22,Senior/Pensioner,Metro,104597
Oct-23,CTP,Metro,601032
Dec-19,Sgl Trip Rail Child/Youth,Metro,7114
Apr-20,Adult,Metro,187366
Jun-20,Concession,Metro,48461
Nov-20,School Student,Metro,93904
Oct-21,School Student,Metro,28833
Jun-24,CTP,Metro,547372
May-19,Free Travel,Metro,333
Mar-20,Sgl Trip Rail Child/Youth,Metro,2270
Feb-23,Sgl Trip Rail Adult,Metro,4560
Mar-20,School Student,Metro,67738
