trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2024-03-30|Bus|All - NSW|11|39700|38600
2024-03-30|Bus|Chatswood|12|400|400
2024-03-30|Bus|Macquarie Park|12|500|500
2024-03-30|Bus|Newcastle and surrounds|12|100|100
2024-03-30|Bus|North Sydney|12|200|200
2024-03-30|Bus|Other|12|32000|32600
2024-03-30|Bus|Parramatta|12|900|800
2024-03-30|Bus|Strathfield|12|400|400
2024-03-30|Bus|Sydney CBD|12|3900|3900
2024-03-30|Bus|Wollongong and surrounds|12|200|200
2024-03-30|Bus|All - NSW|12|38600|39100
2024-03-30|Bus|Chatswood|13|600|500
2024-03-30|Bus|Macquarie Park|13|400|400
2024-03-30|Bus|Newcastle and surrounds|13|100|100
2024-03-30|Bus|North Sydney|13|200|200
2024-03-30|Bus|Other|13|31500|32200
2024-03-30|Bus|Parramatta|13|900|900
2024-03-30|Bus|Strathfield|13|400|400
2024-03-30|Bus|Sydney CBD|13|4300|4100
2024-03-30|Bus|Wollongong and surrounds|13|200|200
2024-03-30|Bus|All - NSW|13|38600|39000
2024-03-30|Bus|Chatswood|14|500|500
2024-03-30|Bus|Macquarie Park|14|500|500
2024-03-30|Bus|Newcastle and surrounds|14|100|100
2024-03-30|Bus|North Sydney|14|200|200
2024-03-30|Bus|Other|14|31400|31400
2024-03-30|Bus|Parramatta|14|900|900
2024-03-30|Bus|Strathfield|14|300|300
2024-03-30|Bus|Sydney CBD|14|4700|4500
2024-03-30|Bus|Wollongong and surrounds|14|200|200
2024-03-30|Bus|All - NSW|14|38800|38600
2024-03-30|Bus|Chatswood|15|500|500
2024-03-30|Bus|Macquarie Park|15|500|500
2024-03-30|Bus|Newcastle and surrounds|15|100|100
2024-03-30|Bus|North Sydney|15|200|200
2024-03-30|Bus|Other|15|31400|31900
2024-03-30|Bus|Parramatta|15|1100|1000
2024-03-30|Bus|Strathfield|15|300|300
2024-03-30|Bus|Sydney CBD|15|5000|4900
2024-03-30|Bus|Wollongong and surrounds|15|200|200
2024-03-30|Bus|All - NSW|15|39300|39600
2024-03-30|Bus|Chatswood|16|500|500
2024-03-30|Bus|Macquarie Park|16|600|600
2024-03-30|Bus|Newcastle and surrounds|16|100|100
2024-03-30|Bus|North Sydney|16|300|300
2024-03-30|Bus|Other|16|30600|30500
2024-03-30|Bus|Parramatta|16|1000|1100
2024-03-30|Bus|Strathfield|16|300|300
2024-03-30|Bus|Sydney CBD|16|5200|5100
2024-03-30|Bus|Wollongong and surrounds|16|200|300
2024-03-30|Bus|All - NSW|16|38800|38800
2024-03-30|Bus|Chatswood|17|500|500
2024-03-30|Bus|Macquarie Park|17|600|500
2024-03-30|Bus|Newcastle and surrounds|17|100|100
2024-03-30|Bus|North Sydney|17|200|200
2024-03-30|Bus|Other|17|28800|29500
2024-03-30|Bus|Parramatta|17|1000|1000
2024-03-30|Bus|Strathfield|17|300|300
2024-03-30|Bus|Sydney CBD|17|4300|4500
2024-03-30|Bus|Wollongong and surrounds|17|200|200
2024-03-30|Bus|All - NSW|17|36000|36800
2024-03-30|Bus|Chatswood|18|400|500
2024-03-30|Bus|Macquarie Park|18|500|500
2024-03-30|Bus|Newcastle and surrounds|18|<50|<50
2024-03-30|Bus|North Sydney|18|200|200
2024-03-30|Bus|Other|18|23000|24900
2024-03-30|Bus|Parramatta|18|1000|1000
2024-03-30|Bus|Strathfield|18|200|200
2024-03-30|Bus|Sydney CBD|18|3800|4000
2024-03-30|Bus|Wollongong and surrounds|18|100|100
2024-03-30|Bus|All - NSW|18|29200|31400
2024-03-30|Bus|Chatswood|19|300|300
2024-03-30|Bus|Macquarie Park|19|300|400
2024-03-30|Bus|Newcastle and surrounds|19|<50|<50
2024-03-30|Bus|North Sydney|19|200|200
2024-03-30|Bus|Other|19|16200|17800
2024-03-30|Bus|Parramatta|19|700|800
2024-03-30|Bus|Strathfield|19|200|200
2024-03-30|Bus|Sydney CBD|19|3400|3500
2024-03-30|Bus|Wollongong and surrounds|19|100|100
2024-03-30|Bus|All - NSW|19|21400|23300
2024-03-30|Bus|Chatswood|20|200|200
2024-03-30|Bus|Macquarie Park|20|200|200
2024-03-30|Bus|Newcastle and surrounds|20|100|<50
2024-03-30|Bus|North Sydney|20|100|100
2024-03-30|Bus|Other|20|11000|12200
2024-03-30|Bus|Parramatta|20|500|500
2024-03-30|Bus|Strathfield|20|100|100
2024-03-30|Bus|Sydney CBD|20|2700|2900
2024-03-30|Bus|Wollongong and surrounds|20|100|100
2024-03-30|Bus|All - NSW|20|15000|16300
2024-03-30|Bus|Chatswood|21|200|200
2024-03-30|Bus|Macquarie Park|21|200|200
2024-03-30|Bus|Newcastle and surrounds|21|<50|<50
2024-03-30|Bus|North Sydney|21|100|100
2024-03-30|Bus|Other|21|9300|9600
2024-03-30|Bus|Parramatta|21|400|400
2024-03-30|Bus|Strathfield|21|100|100
2024-03-30|Bus|Sydney CBD|21|3100|2600
2024-03-30|Bus|Wollongong and surrounds|21|100|100
2024-03-30|Bus|All - NSW|21|13500|13300
2024-03-30|Bus|Chatswood|22|200|200
2024-03-30|Bus|Macquarie Park|22|100|200
2024-03-30|Bus|Newcastle and surrounds|22|<50|<50
2024-03-30|Bus|North Sydney|22|100|100
2024-03-30|Bus|Other|22|7600|8300
2024-03-30|Bus|Parramatta|22|300|300
2024-03-30|Bus|Strathfield|22|100|100
2024-03-30|Bus|Sydney CBD|22|3000|3200
2024-03-30|Bus|Wollongong and surrounds|22|<50|<50
2024-03-30|Bus|All - NSW|22|11400|12400
2024-03-30|Bus|Chatswood|23|<50|100
2024-03-30|Bus|Macquarie Park|23|<50|100
2024-03-30|Bus|Newcastle and surrounds|23|<50|<50
2024-03-30|Bus|North Sydney|23|<50|<50
2024-03-30|Bus|Other|23|4200|4900
2024-03-30|Bus|Parramatta|23|200|200
2024-03-30|Bus|Strathfield|23|<50|100
2024-03-30|Bus|Sydney CBD|23|2000|2400
2024-03-30|Bus|Wollongong and surrounds|23|<50|<50
2024-03-30|Bus|All - NSW|23|6400|7800
2024-03-30|Ferry|Newcastle and surrounds|0|<50|<50
2024-03-30|Ferry|North Sydney|0|<50|<50
2024-03-30|Ferry|Other|0|<50|100
2024-03-30|Ferry|Sydney CBD|0|<50|<50
2024-03-30|Ferry|All - NSW|0|<50|100
2024-03-30|Ferry|Newcastle and surrounds|5|<50|<50
2024-03-30|Ferry|Other|5|<50|<50
2024-03-30|Ferry|All - NSW|5|<50|<50
2024-03-30|Ferry|Newcastle and surrounds|6|<50|<50
2024-03-30|Ferry|North Sydney|6|<50|<50
2024-03-30|Ferry|Other|6|<50|<50
2024-03-30|Ferry|Sydney CBD|6|100|100
2024-03-30|Ferry|All - NSW|6|100|100
2024-03-30|Ferry|Newcastle and surrounds|7|<50|<50
2024-03-30|Ferry|North Sydney|7|<50|<50
2024-03-30|Ferry|Other|7|200|100
2024-03-30|Ferry|Parramatta|7|<50|<50
2024-03-30|Ferry|Sydney CBD|7|200|100
2024-03-30|Ferry|All - NSW|7|400|200
2024-03-30|Ferry|Newcastle and surrounds|8|<50|<50
2024-03-30|Ferry|North Sydney|8|<50|<50
2024-03-30|Ferry|Other|8|500|300
2024-03-30|Ferry|Parramatta|8|<50|<50
2024-03-30|Ferry|Sydney CBD|8|600|300
2024-03-30|Ferry|All - NSW|8|1100|600
2024-03-30|Ferry|Newcastle and surrounds|9|<50|<50
2024-03-30|Ferry|North Sydney|9|100|100
2024-03-30|Ferry|Other|9|1200|800
2024-03-30|Ferry|Parramatta|9|100|<50
2024-03-30|Ferry|Sydney CBD|9|2100|1300
2024-03-30|Ferry|All - NSW|9|3500|2200
2024-03-30|Ferry|Newcastle and surrounds|10|100|100
2024-03-30|Ferry|North Sydney|10|200|200
2024-03-30|Ferry|Other|10|1700|1500
2024-03-30|Ferry|Parramatta|10|200|<50
2024-03-30|Ferry|Sydney CBD|10|4300|3300
2024-03-30|Ferry|All - NSW|10|6500|5100
2024-03-30|Ferry|Newcastle and surrounds|11|100|100
2024-03-30|Ferry|North Sydney|11|300|200
2024-03-30|Ferry|Other|11|2200|1900
2024-03-30|Ferry|Parramatta|11|200|100
2024-03-30|Ferry|Sydney CBD|11|5300|4500
2024-03-30|Ferry|All - NSW|11|8100|6800
2024-03-30|Ferry|Newcastle and surrounds|12|100|100
2024-03-30|Ferry|North Sydney|12|300|400
2024-03-30|Ferry|Other|12|2300|2300
2024-03-30|Ferry|Parramatta|12|100|200
2024-03-30|Ferry|Sydney CBD|12|4900|5600
2024-03-30|Ferry|All - NSW|12|7700|8600
2024-03-30|Ferry|Newcastle and surrounds|13|100|100
2024-03-30|Ferry|North Sydney|13|300|400
2024-03-30|Ferry|Other|13|2900|2600
2024-03-30|Ferry|Parramatta|13|200|200
2024-03-30|Ferry|Sydney CBD|13|4800|4600
2024-03-30|Ferry|All - NSW|13|8300|7900
2024-03-30|Ferry|Newcastle and surrounds|14|100|100
2024-03-30|Ferry|North Sydney|14|400|300
2024-03-30|Ferry|Other|14|4100|3400
2024-03-30|Ferry|Parramatta|14|100|100
2024-03-30|Ferry|Sydney CBD|14|4600|5000
2024-03-30|Ferry|All - NSW|14|9300|8900
2024-03-30|Ferry|Newcastle and surrounds|15|100|100
2024-03-30|Ferry|North Sydney|15|400|400
2024-03-30|Ferry|Other|15|4300|4200
2024-03-30|Ferry|Parramatta|15|100|100
2024-03-30|Ferry|Sydney CBD|15|4300|4500
2024-03-30|Ferry|All - NSW|15|9200|9300
2024-03-30|Ferry|Newcastle and surrounds|16|100|100
2024-03-30|Ferry|North Sydney|16|400|300
2024-03-30|Ferry|Other|16|5000|4400
2024-03-30|Ferry|Parramatta|16|100|100
2024-03-30|Ferry|Sydney CBD|16|3600|4300
2024-03-30|Ferry|All - NSW|16|9200|9200
2024-03-30|Ferry|Newcastle and surrounds|17|<50|100
2024-03-30|Ferry|North Sydney|17|400|500
2024-03-30|Ferry|Other|17|3900|4300
2024-03-30|Ferry|Parramatta|17|<50|100
2024-03-30|Ferry|Sydney CBD|17|2800|3500
2024-03-30|Ferry|All - NSW|17|7100|8500
2024-03-30|Ferry|Newcastle and surrounds|18|<50|<50
2024-03-30|Ferry|North Sydney|18|400|300
2024-03-30|Ferry|Other|18|3800|4000
2024-03-30|Ferry|Parramatta|18|100|100
2024-03-30|Ferry|Sydney CBD|18|2100|2400
2024-03-30|Ferry|All - NSW|18|6400|6800
2024-03-30|Ferry|Newcastle and surrounds|19|100|<50
2024-03-30|Ferry|North Sydney|19|300|300
2024-03-30|Ferry|Other|19|2300|2900
2024-03-30|Ferry|Parramatta|19|<50|<50
2024-03-30|Ferry|Sydney CBD|19|1600|2100
2024-03-30|Ferry|All - NSW|19|4300|5300
2024-03-30|Ferry|Newcastle and surrounds|20|100|100
2024-03-30|Ferry|North Sydney|20|300|300
2024-03-30|Ferry|Other|20|1000|1700
2024-03-30|Ferry|Parramatta|20|<50|<50
