trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2024-09-07|Bus|Chatswood|0|<100|<100
2024-09-07|Bus|Macquarie Park|0|<100|<100
2024-09-07|Bus|Newcastle and surrounds|0|<100|<100
2024-09-07|Bus|North Sydney|0|<100|<100
2024-09-07|Bus|Other|0|1800|2600
2024-09-07|Bus|Parramatta|0|100|100
2024-09-07|Bus|Strathfield|0|<100|<100
2024-09-07|Bus|Sydney CBD|0|1100|900
2024-09-07|Bus|All - NSW|0|3000|3600
2024-09-07|Bus|Chatswood|1|<100|<100
2024-09-07|Bus|Macquarie Park|1|<100|<100
2024-09-07|Bus|Newcastle and surrounds|1|<100|<100
2024-09-07|Bus|North Sydney|1|<100|<100
2024-09-07|Bus|Other|1|700|1000
2024-09-07|Bus|Parramatta|1|<100|<100
2024-09-07|Bus|Strathfield|1|<100|<100
2024-09-07|Bus|Sydney CBD|1|800|600
2024-09-07|Bus|All - NSW|1|1500|1600
2024-09-07|Bus|Chatswood|2|<100|<100
2024-09-07|Bus|Macquarie Park|2|<100|<100
2024-09-07|Bus|Newcastle and surrounds|2|<100|<100
2024-09-07|Bus|North Sydney|2|<100|<100
2024-09-07|Bus|Other|2|600|800
2024-09-07|Bus|Parramatta|2|<100|<100
2024-09-07|Bus|Strathfield|2|<100|<100
2024-09-07|Bus|Sydney CBD|2|900|600
2024-09-07|Bus|All - NSW|2|1500|1400
2024-09-07|Bus|Chatswood|3|<100|<100
2024-09-07|Bus|Macquarie Park|3|<100|<100
2024-09-07|Bus|North Sydney|3|<100|<100
2024-09-07|Bus|Other|3|500|700
2024-09-07|Bus|Parramatta|3|<100|<100
2024-09-07|Bus|Strathfield|3|<100|<100
2024-09-07|Bus|Sydney CBD|3|600|500
2024-09-07|Bus|All - NSW|3|1100|1200
2024-09-07|Bus|Chatswood|4|<100|<100
2024-09-07|Bus|Macquarie Park|4|<100|<100
2024-09-07|Bus|North Sydney|4|<100|<100
2024-09-07|Bus|Other|4|600|700
2024-09-07|Bus|Parramatta|4|<100|<100
2024-09-07|Bus|Strathfield|4|<100|<100
2024-09-07|Bus|Sydney CBD|4|400|400
2024-09-07|Bus|All - NSW|4|1000|1100
2024-09-07|Bus|Chatswood|5|<100|<100
2024-09-07|Bus|Macquarie Park|5|<100|<100
2024-09-07|Bus|Newcastle and surrounds|5|<100|<100
2024-09-07|Bus|North Sydney|5|<100|<100
2024-09-07|Bus|Other|5|2400|2000
2024-09-07|Bus|Parramatta|5|100|100
2024-09-07|Bus|Strathfield|5|<100|<100
2024-09-07|Bus|Sydney CBD|5|500|400
2024-09-07|Bus|All - NSW|5|3000|2500
2024-09-07|Bus|Chatswood|6|200|100
2024-09-07|Bus|Macquarie Park|6|<100|<100
2024-09-07|Bus|Newcastle and surrounds|6|<100|<100
2024-09-07|Bus|North Sydney|6|<100|<100
2024-09-07|Bus|Other|6|7000|6400
2024-09-07|Bus|Parramatta|6|400|200
2024-09-07|Bus|Strathfield|6|100|100
2024-09-07|Bus|Sydney CBD|6|1100|800
2024-09-07|Bus|Wollongong and surrounds|6|<100|<100
2024-09-07|Bus|All - NSW|6|8800|7600
2024-09-07|Bus|Chatswood|7|200|200
2024-09-07|Bus|Macquarie Park|7|200|200
2024-09-07|Bus|Newcastle and surrounds|7|<100|<100
2024-09-07|Bus|North Sydney|7|100|100
2024-09-07|Bus|Other|7|13600|11600
2024-09-07|Bus|Parramatta|7|500|500
2024-09-07|Bus|Strathfield|7|200|100
2024-09-07|Bus|Sydney CBD|7|1300|1200
2024-09-07|Bus|Wollongong and surrounds|7|100|100
2024-09-07|Bus|All - NSW|7|16200|14000
2024-09-07|Bus|Chatswood|8|300|300
2024-09-07|Bus|Macquarie Park|8|300|300
2024-09-07|Bus|Newcastle and surrounds|8|<100|100
2024-09-07|Bus|North Sydney|8|100|100
2024-09-07|Bus|Other|8|21700|19600
2024-09-07|Bus|Parramatta|8|800|900
2024-09-07|Bus|Strathfield|8|200|200
2024-09-07|Bus|Sydney CBD|8|2100|2100
2024-09-07|Bus|Wollongong and surrounds|8|200|200
2024-09-07|Bus|All - NSW|8|25700|23800
2024-09-07|Bus|Chatswood|9|300|400
2024-09-07|Bus|Macquarie Park|9|300|400
2024-09-07|Bus|Newcastle and surrounds|9|<100|<100
2024-09-07|Bus|North Sydney|9|200|200
2024-09-07|Bus|Other|9|26900|24900
2024-09-07|Bus|Parramatta|9|700|1000
2024-09-07|Bus|Strathfield|9|300|300
2024-09-07|Bus|Sydney CBD|9|2400|2800
2024-09-07|Bus|Wollongong and surrounds|9|200|200
2024-09-07|Bus|All - NSW|9|31300|30200
2024-09-07|Bus|Chatswood|10|300|400
2024-09-07|Bus|Macquarie Park|10|400|500
2024-09-07|Bus|Newcastle and surrounds|10|100|100
2024-09-07|Bus|North Sydney|10|300|300
2024-09-07|Bus|Other|10|32500|29800
2024-09-07|Bus|Parramatta|10|900|900
2024-09-07|Bus|Strathfield|10|300|300
2024-09-07|Bus|Sydney CBD|10|2800|3500
2024-09-07|Bus|Wollongong and surrounds|10|500|500
2024-09-07|Bus|All - NSW|10|38100|36300
2024-09-07|Bus|Chatswood|11|400|500
2024-09-07|Bus|Macquarie Park|11|500|600
2024-09-07|Bus|Newcastle and surrounds|11|<100|100
2024-09-07|Bus|North Sydney|11|200|300
2024-09-07|Bus|Other|11|33300|31600
2024-09-07|Bus|Parramatta|11|800|900
2024-09-07|Bus|Strathfield|11|300|200
2024-09-07|Bus|Sydney CBD|11|3100|3800
2024-09-07|Bus|Wollongong and surrounds|11|500|500
2024-09-07|Bus|All - NSW|11|39100|38500
2024-09-07|Bus|Chatswood|12|400|500
2024-09-07|Bus|Macquarie Park|12|400|500
2024-09-07|Bus|Newcastle and surrounds|12|<100|<100
2024-09-07|Bus|North Sydney|12|300|300
2024-09-07|Bus|Other|12|33900|32800
2024-09-07|Bus|Parramatta|12|900|900
2024-09-07|Bus|Strathfield|12|400|300
2024-09-07|Bus|Sydney CBD|12|3500|4200
2024-09-07|Bus|Wollongong and surrounds|12|500|500
2024-09-07|Bus|All - NSW|12|40300|40000
2024-09-07|Bus|Chatswood|13|500|500
2024-09-07|Bus|Macquarie Park|13|500|500
2024-09-07|Bus|Newcastle and surrounds|13|100|100
2024-09-07|Bus|North Sydney|13|300|300
2024-09-07|Bus|Other|13|34200|33800
2024-09-07|Bus|Parramatta|13|1000|1000
2024-09-07|Bus|Strathfield|13|400|300
2024-09-07|Bus|Sydney CBD|13|4100|4500
2024-09-07|Bus|Wollongong and surrounds|13|500|500
2024-09-07|Bus|All - NSW|13|41600|41500
2024-09-07|Bus|Chatswood|14|500|400
2024-09-07|Bus|Macquarie Park|14|500|500
2024-09-07|Bus|Newcastle and surrounds|14|100|100
2024-09-07|Bus|North Sydney|14|300|300
2024-09-07|Bus|Other|14|33800|34400
2024-09-07|Bus|Parramatta|14|1000|1000
2024-09-07|Bus|Strathfield|14|300|300
2024-09-07|Bus|Sydney CBD|14|4400|4500
2024-09-07|Bus|Wollongong and surrounds|14|400|400
2024-09-07|Bus|All - NSW|14|41300|41900
2024-09-07|Bus|Chatswood|15|600|400
2024-09-07|Bus|Macquarie Park|15|500|500
2024-09-07|Bus|Newcastle and surrounds|15|100|100
2024-09-07|Bus|North Sydney|15|300|300
2024-09-07|Bus|Other|15|32600|33900
2024-09-07|Bus|Parramatta|15|1100|900
2024-09-07|Bus|Strathfield|15|400|400
2024-09-07|Bus|Sydney CBD|15|4300|4400
2024-09-07|Bus|Wollongong and surrounds|15|600|600
2024-09-07|Bus|All - NSW|15|40500|41500
2024-09-07|Bus|Chatswood|16|500|400
2024-09-07|Bus|Macquarie Park|16|600|500
2024-09-07|Bus|Newcastle and surrounds|16|100|100
2024-09-07|Bus|North Sydney|16|300|200
2024-09-07|Bus|Other|16|30700|31500
2024-09-07|Bus|Parramatta|16|1100|900
2024-09-07|Bus|Strathfield|16|400|400
2024-09-07|Bus|Sydney CBD|16|4500|4100
2024-09-07|Bus|Wollongong and surrounds|16|600|500
2024-09-07|Bus|All - NSW|16|38800|38600
2024-09-07|Bus|Chatswood|17|500|400
2024-09-07|Bus|Macquarie Park|17|600|500
2024-09-07|Bus|Newcastle and surrounds|17|100|100
2024-09-07|Bus|North Sydney|17|200|200
2024-09-07|Bus|Other|17|28000|29100
2024-09-07|Bus|Parramatta|17|1100|900
2024-09-07|Bus|Strathfield|17|300|400
2024-09-07|Bus|Sydney CBD|17|4100|4300
2024-09-07|Bus|Wollongong and surrounds|17|200|200
2024-09-07|Bus|All - NSW|17|35100|36100
2024-09-07|Bus|Chatswood|18|500|300
2024-09-07|Bus|Macquarie Park|18|600|400
2024-09-07|Bus|Newcastle and surrounds|18|100|100
2024-09-07|Bus|North Sydney|18|200|200
2024-09-07|Bus|Other|18|21700|24300
2024-09-07|Bus|Parramatta|18|1000|800
2024-09-07|Bus|Strathfield|18|200|400
2024-09-07|Bus|Sydney CBD|18|3700|3700
2024-09-07|Bus|Wollongong and surrounds|18|100|100
2024-09-07|Bus|All - NSW|18|28100|30300
2024-09-07|Bus|Chatswood|19|200|200
2024-09-07|Bus|Macquarie Park|19|300|300
2024-09-07|Bus|Newcastle and surrounds|19|<100|<100
2024-09-07|Bus|North Sydney|19|100|100
2024-09-07|Bus|Other|19|13700|16200
2024-09-07|Bus|Parramatta|19|600|600
2024-09-07|Bus|Strathfield|19|200|100
2024-09-07|Bus|Sydney CBD|19|2700|2600
2024-09-07|Bus|Wollongong and surrounds|19|100|100
2024-09-07|Bus|All - NSW|19|17900|20200
2024-09-07|Bus|Chatswood|20|200|100
2024-09-07|Bus|Macquarie Park|20|200|200
2024-09-07|Bus|Newcastle and surrounds|20|<100|<100
2024-09-07|Bus|North Sydney|20|100|100
2024-09-07|Bus|Other|20|9700|11000
2024-09-07|Bus|Parramatta|20|500|500
2024-09-07|Bus|Strathfield|20|100|100
2024-09-07|Bus|Sydney CBD|20|2300|1900
2024-09-07|Bus|Wollongong and surrounds|20|<100|<100
2024-09-07|Bus|All - NSW|20|13100|13900
2024-09-07|Bus|Chatswood|21|200|200
2024-09-07|Bus|Macquarie Park|21|200|100
2024-09-07|Bus|Newcastle and surrounds|21|<100|<100
2024-09-07|Bus|North Sydney|21|100|100
2024-09-07|Bus|Other|21|8700|9300
2024-09-07|Bus|Parramatta|21|400|300
2024-09-07|Bus|Strathfield|21|100|100
2024-09-07|Bus|Sydney CBD|21|2500|1900
2024-09-07|Bus|Wollongong and surrounds|21|<100|<100
2024-09-07|Bus|All - NSW|21|12200|12000
2024-09-07|Bus|Chatswood|22|200|100
2024-09-07|Bus|Macquarie Park|22|200|200
2024-09-07|Bus|Newcastle and surrounds|22|<100|<100
2024-09-07|Bus|North Sydney|22|<100|<100
2024-09-07|Bus|Other|22|7500|8500
2024-09-07|Bus|Parramatta|22|300|300
2024-09-07|Bus|Strathfield|22|100|100
2024-09-07|Bus|Sydney CBD|22|2300|2100
2024-09-07|Bus|Wollongong and surrounds|22|<100|<100
2024-09-07|Bus|All - NSW|22|10600|11300
2024-09-07|Bus|Chatswood|23|100|100
2024-09-07|Bus|Macquarie Park|23|100|100
2024-09-07|Bus|Newcastle and surrounds|23|<100|<100
2024-09-07|Bus|North Sydney|23|<100|<100
2024-09-07|Bus|Other|23|4200|5300
2024-09-07|Bus|Parramatta|23|200|200
2024-09-07|Bus|Strathfield|23|100|<100
2024-09-07|Bus|Sydney CBD|23|1900|1500
2024-09-07|Bus|Wollongong and surrounds|23|<100|<100
2024-09-07|Bus|All - NSW|23|6600|7200
2024-09-07|Ferry|Newcastle and surrounds|0|<100|<100
2024-09-07|Ferry|North Sydney|0|<100|<100
2024-09-07|Ferry|Other|0|<100|<100
2024-09-07|Ferry|Sydney CBD|0|100|200
2024-09-07|Ferry|All - NSW|0|100|200
2024-09-07|Ferry|Sydney CBD|1|<100|<100
2024-09-07|Ferry|All - NSW|1|<100|<100
2024-09-07|Ferry|Newcastle and surrounds|5|<100|<100
2024-09-07|Ferry|Other|5|<100|<100
2024-09-07|Ferry|Sydney CBD|5|<100|<100
2024-09-07|Ferry|All - NSW|5|<100|<100
2024-09-07|Ferry|Newcastle and surrounds|6|<100|<100
2024-09-07|Ferry|North Sydney|6|<100|<100
2024-09-07|Ferry|Other|6|<100|<100
2024-09-07|Ferry|Sydney CBD|6|100|<100
2024-09-07|Ferry|All - NSW|6|100|<100
2024-09-07|Ferry|Newcastle and surrounds|7|<100|100
2024-09-07|Ferry|North Sydney|7|<100|<100
2024-09-07|Ferry|Other|7|200|100
2024-09-07|Ferry|Parramatta|7|<100|<100
2024-09-07|Ferry|Sydney CBD|7|200|100
2024-09-07|Ferry|All - NSW|7|400|300
2024-09-07|Ferry|Newcastle and surrounds|8|<100|<100
2024-09-07|Ferry|North Sydney|8|100|<100
2024-09-07|Ferry|Other|8|500|400
2024-09-07|Ferry|Parramatta|8|<100|<100
2024-09-07|Ferry|Sydney CBD|8|700|300
2024-09-07|Ferry|All - NSW|8|1300|700
2024-09-07|Ferry|Newcastle and surrounds|9|<100|<100
2024-09-07|Ferry|North Sydney|9|100|100
2024-09-07|Ferry|Other|9|1000|1000
2024-09-07|Ferry|Parramatta|9|100|<100
2024-09-07|Ferry|Sydney CBD|9|1800|900
2024-09-07|Ferry|All - NSW|9|3000|2000
2024-09-07|Ferry|Newcastle and surrounds|10|100|100
2024-09-07|Ferry|North Sydney|10|200|200
2024-09-07|Ferry|Other|10|1300|1800
2024-09-07|Ferry|Parramatta|10|100|<100
2024-09-07|Ferry|Sydney CBD|10|2800|1700
2024-09-07|Ferry|All - NSW|10|4500|3800
2024-09-07|Ferry|Newcastle and surrounds|11|100|100
2024-09-07|Ferry|North Sydney|11|300|300
2024-09-07|Ferry|Other|11|1600|2400
2024-09-07|Ferry|Parramatta|11|100|100
2024-09-07|Ferry|Sydney CBD|11|3500|2200
2024-09-07|Ferry|All - NSW|11|5600|5100
2024-09-07|Ferry|Newcastle and surrounds|12|100|100
2024-09-07|Ferry|North Sydney|12|300|200
2024-09-07|Ferry|Other|12|1900|2700
2024-09-07|Ferry|Parramatta|12|100|100
2024-09-07|Ferry|Sydney CBD|12|3200|2500
2024-09-07|Ferry|All - NSW|12|5600|5600
2024-09-07|Ferry|Newcastle and surrounds|13|100|100
2024-09-07|Ferry|North Sydney|13|300|400
2024-09-07|Ferry|Other|13|2500|2600
2024-09-07|Ferry|Parramatta|13|100|100
2024-09-07|Ferry|Sydney CBD|13|3300|2900
2024-09-07|Ferry|All - NSW|13|6300|6100
2024-09-07|Ferry|Newcastle and surrounds|14|100|100
2024-09-07|Ferry|North Sydney|14|300|300
2024-09-07|Ferry|Other|14|3000|2500
2024-09-07|Ferry|Parramatta|14|100|100
2024-09-07|Ferry|Sydney CBD|14|2900|3400
2024-09-07|Ferry|All - NSW|14|6400|6400
2024-09-07|Ferry|Newcastle and surrounds|15|100|<100
2024-09-07|Ferry|North Sydney|15|300|300
2024-09-07|Ferry|Other|15|2800|2100
2024-09-07|Ferry|Parramatta|15|100|100
2024-09-07|Ferry|Sydney CBD|15|2500|3400
2024-09-07|Ferry|All - NSW|15|5800|5900
2024-09-07|Ferry|Newcastle and surrounds|16|100|<100
2024-09-07|Ferry|North Sydney|16|400|300
2024-09-07|Ferry|Other|16|3000|1900
2024-09-07|Ferry|Parramatta|16|<100|<100
2024-09-07|Ferry|Sydney CBD|16|2000|3300
2024-09-07|Ferry|All - NSW|16|5500|5500
2024-09-07|Ferry|Newcastle and surrounds|17|<100|100
2024-09-07|Ferry|North Sydney|17|300|300
2024-09-07|Ferry|Other|17|2500|1600
2024-09-07|Ferry|Parramatta|17|<100|<100
2024-09-07|Ferry|Sydney CBD|17|1700|3200
2024-09-07|Ferry|All - NSW|17|4500|5200
2024-09-07|Ferry|Newcastle and surrounds|18|<100|<100
2024-09-07|Ferry|North Sydney|18|300|200
2024-09-07|Ferry|Other|18|1500|1200
2024-09-07|Ferry|Parramatta|18|<100|<100
2024-09-07|Ferry|Sydney CBD|18|1200|2000
2024-09-07|Ferry|All - NSW|18|3000|3400
2024-09-07|Ferry|Newcastle and surrounds|19|<100|<100
2024-09-07|Ferry|North Sydney|19|300|200
2024-09-07|Ferry|Other|19|700|800
2024-09-07|Ferry|Parramatta|19|<100|<100
2024-09-07|Ferry|Sydney CBD|19|900|1400
2024-09-07|Ferry|All - NSW|19|1900|2400
2024-09-07|Ferry|Newcastle and surrounds|20|<100|<100
2024-09-07|Ferry|North Sydney|20|100|100
2024-09-07|Ferry|Other|20|400|500
2024-09-07|Ferry|Parramatta|20|<100|<100
2024-09-07|Ferry|Sydney CBD|20|700|1100
2024-09-07|Ferry|All - NSW|20|1200|1700
2024-09-07|Ferry|Newcastle and surrounds|21|<100|<100
2024-09-07|Ferry|North Sydney|21|<100|100
2024-09-07|Ferry|Other|21|300|100
2024-09-07|Ferry|Parramatta|21|<100|<100
2024-09-07|Ferry|Sydney CBD|21|800|1000
2024-09-07|Ferry|All - NSW|21|1100|1200
2024-09-07|Ferry|Newcastle and surrounds|22|<100|<100
2024-09-07|Ferry|North Sydney|22|<100|<100
2024-09-07|Ferry|Other|22|300|200
2024-09-07|Ferry|Sydney CBD|22|600|800
2024-09-07|Ferry|All - NSW|22|900|1000
2024-09-07|Ferry|Newcastle and surrounds|23|<100|<100
2024-09-07|Ferry|North Sydney|23|<100|<100
2024-09-07|Ferry|Other|23|200|100
2024-09-07|Ferry|Sydney CBD|23|300|500
2024-09-07|Ferry|All - NSW|23|500|600
2024-09-07|Light rail|Newcastle and surrounds|0|<100|<100
2024-09-07|Light rail|Other|0|200|300
2024-09-07|Light rail|Sydney CBD|0|700|800
2024-09-07|Light rail|All - NSW|0|900|1100
2024-09-07|Light rail|Other|1|<100|100
2024-09-07|Light rail|Sydney CBD|1|100|200
2024-09-07|Light rail|All - NSW|1|100|300
2024-09-07|Light rail|Other|2|<100|<100
2024-09-07|Light rail|Sydney CBD|2|<100|<100
2024-09-07|Light rail|All - NSW|2|<100|<100
2024-09-07|Light rail|Sydney CBD|3|<100|<100
2024-09-07|Light rail|All - NSW|3|<100|<100
2024-09-07|Light rail|Other|4|<100|<100
2024-09-07|Light rail|Sydney CBD|4|<100|<100
2024-09-07|Light rail|All - NSW|4|<100|<100
2024-09-07|Light rail|Newcastle and surrounds|5|<100|<100
2024-09-07|Light rail|Other|5|100|100
2024-09-07|Light rail|Sydney CBD|5|300|200
2024-09-07|Light rail|All - NSW|5|400|300
2024-09-07|Light rail|Newcastle and surrounds|6|<100|<100
2024-09-07|Light rail|Other|6|300|400
2024-09-07|Light rail|Sydney CBD|6|700|500
2024-09-07|Light rail|All - NSW|6|1000|900
2024-09-07|Light rail|Newcastle and surrounds|7|<100|<100
2024-09-07|Light rail|Other|7|700|800
2024-09-07|Light rail|Sydney CBD|7|1400|1000
2024-09-07|Light rail|All - NSW|7|2100|1800
2024-09-07|Light rail|Newcastle and surrounds|8|100|100
2024-09-07|Light rail|Other|8|1100|1400
2024-09-07|Light rail|Sydney CBD|8|3100|1800
2024-09-07|Light rail|All - NSW|8|4300|3300
2024-09-07|Light rail|Newcastle and surrounds|9|200|100
2024-09-07|Light rail|Other|9|1700|3200
2024-09-07|Light rail|Sydney CBD|9|5300|3300
2024-09-07|Light rail|All - NSW|9|7200|6600
2024-09-07|Light rail|Newcastle and surrounds|10|200|200
2024-09-07|Light rail|Other|10|2200|3400
2024-09-07|Light rail|Sydney CBD|10|6100|4600
2024-09-07|Light rail|All - NSW|10|8500|8200
2024-09-07|Light rail|Newcastle and surrounds|11|300|300
2024-09-07|Light rail|Other|11|2800|3500
2024-09-07|Light rail|Sydney CBD|11|6900|5900
2024-09-07|Light rail|All - NSW|11|10000|9700
2024-09-07|Light rail|Newcastle and surrounds|12|200|300
2024-09-07|Light rail|Other|12|3600|3700
2024-09-07|Light rail|Sydney CBD|12|7600|7400
2024-09-07|Light rail|All - NSW|12|11400|11400
2024-09-07|Light rail|Newcastle and surrounds|13|200|200
2024-09-07|Light rail|Other|13|4000|3600
2024-09-07|Light rail|Sydney CBD|13|7600|7900
2024-09-07|Light rail|All - NSW|13|11800|11700
2024-09-07|Light rail|Newcastle and surrounds|14|200|200
2024-09-07|Light rail|Other|14|4400|3500
2024-09-07|Light rail|Sydney CBD|14|7300|7900
2024-09-07|Light rail|All - NSW|14|11900|11600
2024-09-07|Light rail|Newcastle and surrounds|15|200|200
