trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2022-06-08|Bus|Chatswood|0|<50|<50
2022-06-08|Bus|Macquarie Park|0|<50|<50
2022-06-08|Bus|Newcastle and surrounds|0|<50|<50
2022-06-08|Bus|North Sydney|0|<50|<50
2022-06-08|Bus|Other|0|500|1000
2022-06-08|Bus|Parramatta|0|<50|<50
2022-06-08|Bus|Strathfield|0|<50|<50
2022-06-08|Bus|Sydney CBD|0|400|100
2022-06-08|Bus|All - NSW|0|900|1100
2022-06-08|Bus|Chatswood|1|<50|<50
2022-06-08|Bus|Macquarie Park|1|<50|<50
2022-06-08|Bus|North Sydney|1|<50|<50
2022-06-08|Bus|Other|1|300|400
2022-06-08|Bus|Parramatta|1|<50|<50
2022-06-08|Bus|Strathfield|1|<50|<50
2022-06-08|Bus|Sydney CBD|1|200|100
2022-06-08|Bus|All - NSW|1|500|500
2022-06-08|Bus|Chatswood|2|<50|<50
2022-06-08|Bus|Macquarie Park|2|<50|<50
2022-06-08|Bus|North Sydney|2|<50|<50
2022-06-08|Bus|Other|2|200|300
2022-06-08|Bus|Parramatta|2|<50|<50
2022-06-08|Bus|Strathfield|2|<50|<50
2022-06-08|Bus|Sydney CBD|2|200|100
2022-06-08|Bus|All - NSW|2|400|400
2022-06-08|Bus|Chatswood|3|<50|<50
2022-06-08|Bus|Macquarie Park|3|<50|<50
2022-06-08|Bus|North Sydney|3|<50|<50
2022-06-08|Bus|Other|3|300|300
2022-06-08|Bus|Parramatta|3|<50|<50
2022-06-08|Bus|Strathfield|3|<50|<50
2022-06-08|Bus|Sydney CBD|3|100|100
2022-06-08|Bus|All - NSW|3|400|400
2022-06-08|Bus|Chatswood|4|<50|<50
2022-06-08|Bus|Macquarie Park|4|<50|<50
2022-06-08|Bus|North Sydney|4|<50|<50
2022-06-08|Bus|Other|4|1300|700
2022-06-08|Bus|Parramatta|4|<50|<50
2022-06-08|Bus|Strathfield|4|<50|<50
2022-06-08|Bus|Sydney CBD|4|100|200
2022-06-08|Bus|All - NSW|4|1400|900
2022-06-08|Bus|Chatswood|5|100|<50
2022-06-08|Bus|Macquarie Park|5|100|100
2022-06-08|Bus|Newcastle and surrounds|5|<50|<50
2022-06-08|Bus|North Sydney|5|<50|<50
2022-06-08|Bus|Other|5|8000|5500
2022-06-08|Bus|Parramatta|5|300|300
2022-06-08|Bus|Strathfield|5|100|100
2022-06-08|Bus|Sydney CBD|5|700|900
2022-06-08|Bus|Wollongong and surrounds|5|<50|<50
2022-06-08|Bus|All - NSW|5|9300|6900
2022-06-08|Bus|Chatswood|6|300|200
2022-06-08|Bus|Macquarie Park|6|200|300
2022-06-08|Bus|Newcastle and surrounds|6|<50|<50
2022-06-08|Bus|North Sydney|6|100|200
2022-06-08|Bus|Other|6|21600|16600
2022-06-08|Bus|Parramatta|6|1000|800
2022-06-08|Bus|Strathfield|6|300|200
2022-06-08|Bus|Sydney CBD|6|1800|2800
2022-06-08|Bus|Wollongong and surrounds|6|100|100
2022-06-08|Bus|All - NSW|6|25400|21200
2022-06-08|Bus|Chatswood|7|600|500
2022-06-08|Bus|Macquarie Park|7|700|500
2022-06-08|Bus|Newcastle and surrounds|7|100|100
2022-06-08|Bus|North Sydney|7|400|700
2022-06-08|Bus|Other|7|54300|33600
2022-06-08|Bus|Parramatta|7|1500|1900
2022-06-08|Bus|Strathfield|7|500|500
2022-06-08|Bus|Sydney CBD|7|2400|8100
2022-06-08|Bus|Wollongong and surrounds|7|300|500
2022-06-08|Bus|All - NSW|7|60800|46400
2022-06-08|Bus|Chatswood|8|700|700
2022-06-08|Bus|Macquarie Park|8|800|1000
2022-06-08|Bus|Newcastle and surrounds|8|100|100
2022-06-08|Bus|North Sydney|8|900|1500
2022-06-08|Bus|Other|8|56400|49100
2022-06-08|Bus|Parramatta|8|1700|2700
2022-06-08|Bus|Strathfield|8|400|500
2022-06-08|Bus|Sydney CBD|8|3900|17600
2022-06-08|Bus|Wollongong and surrounds|8|400|900
2022-06-08|Bus|All - NSW|8|65300|74100
2022-06-08|Bus|Chatswood|9|300|500
2022-06-08|Bus|Macquarie Park|9|400|800
2022-06-08|Bus|Newcastle and surrounds|9|<50|100
2022-06-08|Bus|North Sydney|9|300|600
2022-06-08|Bus|Other|9|28100|27900
2022-06-08|Bus|Parramatta|9|700|1300
2022-06-08|Bus|Strathfield|9|300|200
2022-06-08|Bus|Sydney CBD|9|2300|8100
2022-06-08|Bus|Wollongong and surrounds|9|200|200
2022-06-08|Bus|All - NSW|9|32600|39700
2022-06-08|Bus|Chatswood|10|200|300
2022-06-08|Bus|Macquarie Park|10|300|500
2022-06-08|Bus|Newcastle and surrounds|10|<50|100
2022-06-08|Bus|North Sydney|10|200|200
2022-06-08|Bus|Other|10|23600|21800
2022-06-08|Bus|Parramatta|10|600|800
2022-06-08|Bus|Strathfield|10|200|200
2022-06-08|Bus|Sydney CBD|10|1600|3200
2022-06-08|Bus|Wollongong and surrounds|10|200|200
2022-06-08|Bus|All - NSW|10|26900|27300
2022-06-08|Bus|Chatswood|11|200|300
2022-06-08|Bus|Macquarie Park|11|300|300
2022-06-08|Bus|Newcastle and surrounds|11|100|100
2022-06-08|Bus|North Sydney|11|200|200
2022-06-08|Bus|Other|11|22100|20900
2022-06-08|Bus|Parramatta|11|600|700
2022-06-08|Bus|Strathfield|11|200|100
2022-06-08|Bus|Sydney CBD|11|1700|2800
2022-06-08|Bus|Wollongong and surrounds|11|200|200
2022-06-08|Bus|All - NSW|11|25600|25600
2022-06-08|Bus|Chatswood|12|300|300
2022-06-08|Bus|Macquarie Park|12|300|300
2022-06-08|Bus|Newcastle and surrounds|12|100|100
2022-06-08|Bus|North Sydney|12|300|200
2022-06-08|Bus|Other|12|22500|21900
2022-06-08|Bus|Parramatta|12|700|700
2022-06-08|Bus|Strathfield|12|200|100
2022-06-08|Bus|Sydney CBD|12|2000|2300
2022-06-08|Bus|Wollongong and surrounds|12|200|200
2022-06-08|Bus|All - NSW|12|26600|26100
2022-06-08|Bus|Chatswood|13|300|300
2022-06-08|Bus|Macquarie Park|13|400|300
2022-06-08|Bus|Newcastle and surrounds|13|100|100
2022-06-08|Bus|North Sydney|13|200|100
2022-06-08|Bus|Other|13|23600|23800
2022-06-08|Bus|Parramatta|13|900|700
2022-06-08|Bus|Strathfield|13|200|200
2022-06-08|Bus|Sydney CBD|13|2500|2100
2022-06-08|Bus|Wollongong and surrounds|13|200|200
2022-06-08|Bus|All - NSW|13|28400|27800
2022-06-08|Bus|Chatswood|14|400|300
2022-06-08|Bus|Macquarie Park|14|500|400
2022-06-08|Bus|Newcastle and surrounds|14|100|100
2022-06-08|Bus|North Sydney|14|300|300
2022-06-08|Bus|Other|14|32200|30800
2022-06-08|Bus|Parramatta|14|1400|1000
2022-06-08|Bus|Strathfield|14|300|300
2022-06-08|Bus|Sydney CBD|14|3400|2400
2022-06-08|Bus|Wollongong and surrounds|14|900|300
2022-06-08|Bus|All - NSW|14|39500|35900
2022-06-08|Bus|Chatswood|15|900|500
2022-06-08|Bus|Macquarie Park|15|700|500
2022-06-08|Bus|Newcastle and surrounds|15|100|<50
2022-06-08|Bus|North Sydney|15|600|300
2022-06-08|Bus|Other|15|45700|46100
2022-06-08|Bus|Parramatta|15|2000|1300
2022-06-08|Bus|Strathfield|15|500|300
2022-06-08|Bus|Sydney CBD|15|4900|3100
2022-06-08|Bus|Wollongong and surrounds|15|900|400
2022-06-08|Bus|All - NSW|15|56300|52500
2022-06-08|Bus|Chatswood|16|700|500
2022-06-08|Bus|Macquarie Park|16|800|600
2022-06-08|Bus|Newcastle and surrounds|16|100|100
2022-06-08|Bus|North Sydney|16|700|300
2022-06-08|Bus|Other|16|36300|42700
2022-06-08|Bus|Parramatta|16|2000|1200
2022-06-08|Bus|Strathfield|16|400|400
2022-06-08|Bus|Sydney CBD|16|7500|3900
2022-06-08|Bus|Wollongong and surrounds|16|200|200
2022-06-08|Bus|All - NSW|16|48700|49900
2022-06-08|Bus|Chatswood|17|600|600
2022-06-08|Bus|Macquarie Park|17|1000|600
2022-06-08|Bus|Newcastle and surrounds|17|100|100
2022-06-08|Bus|North Sydney|17|1000|400
2022-06-08|Bus|Other|17|34200|41200
2022-06-08|Bus|Parramatta|17|2100|1300
2022-06-08|Bus|Strathfield|17|500|300
2022-06-08|Bus|Sydney CBD|17|12400|5200
2022-06-08|Bus|Wollongong and surrounds|17|200|100
2022-06-08|Bus|All - NSW|17|52100|49800
2022-06-08|Bus|Chatswood|18|500|300
2022-06-08|Bus|Macquarie Park|18|600|500
2022-06-08|Bus|Newcastle and surrounds|18|<50|<50
2022-06-08|Bus|North Sydney|18|600|300
2022-06-08|Bus|Other|18|21900|36000
2022-06-08|Bus|Parramatta|18|1300|900
2022-06-08|Bus|Strathfield|18|300|300
2022-06-08|Bus|Sydney CBD|18|8300|4100
2022-06-08|Bus|Wollongong and surrounds|18|100|100
2022-06-08|Bus|All - NSW|18|33600|42500
2022-06-08|Bus|Chatswood|19|200|200
2022-06-08|Bus|Macquarie Park|19|300|200
2022-06-08|Bus|Newcastle and surrounds|19|<50|<50
2022-06-08|Bus|North Sydney|19|200|100
2022-06-08|Bus|Other|19|10300|16400
2022-06-08|Bus|Parramatta|19|600|400
2022-06-08|Bus|Strathfield|19|100|100
2022-06-08|Bus|Sydney CBD|19|3600|1700
2022-06-08|Bus|Wollongong and surrounds|19|<50|<50
2022-06-08|Bus|All - NSW|19|15300|19100
2022-06-08|Bus|Chatswood|20|100|100
2022-06-08|Bus|Macquarie Park|20|200|100
2022-06-08|Bus|Newcastle and surrounds|20|<50|<50
2022-06-08|Bus|North Sydney|20|100|100
2022-06-08|Bus|Other|20|6300|8700
2022-06-08|Bus|Parramatta|20|400|200
2022-06-08|Bus|Strathfield|20|100|100
2022-06-08|Bus|Sydney CBD|20|2600|1000
2022-06-08|Bus|Wollongong and surrounds|20|<50|<50
2022-06-08|Bus|All - NSW|20|9800|10300
2022-06-08|Bus|Chatswood|21|100|100
2022-06-08|Bus|Macquarie Park|21|100|100
2022-06-08|Bus|Newcastle and surrounds|21|<50|<50
2022-06-08|Bus|North Sydney|21|100|<50
2022-06-08|Bus|Other|21|5700|7400
2022-06-08|Bus|Parramatta|21|200|200
2022-06-08|Bus|Strathfield|21|100|100
2022-06-08|Bus|Sydney CBD|21|2400|1000
2022-06-08|Bus|Wollongong and surrounds|21|<50|<50
2022-06-08|Bus|All - NSW|21|8700|8900
2022-06-08|Bus|Chatswood|22|100|100
2022-06-08|Bus|Macquarie Park|22|100|100
2022-06-08|Bus|Newcastle and surrounds|22|<50|<50
2022-06-08|Bus|North Sydney|22|<50|<50
2022-06-08|Bus|Other|22|4900|6800
2022-06-08|Bus|Parramatta|22|200|100
2022-06-08|Bus|Strathfield|22|100|100
2022-06-08|Bus|Sydney CBD|22|2200|800
2022-06-08|Bus|Wollongong and surrounds|22|<50|<50
2022-06-08|Bus|All - NSW|22|7600|8000
2022-06-08|Bus|Chatswood|23|100|100
2022-06-08|Bus|Macquarie Park|23|100|100
2022-06-08|Bus|Newcastle and surrounds|23|<50|<50
2022-06-08|Bus|North Sydney|23|<50|<50
2022-06-08|Bus|Other|23|2100|4100
2022-06-08|Bus|Parramatta|23|100|100
2022-06-08|Bus|Strathfield|23|<50|<50
2022-06-08|Bus|Sydney CBD|23|1300|400
2022-06-08|Bus|Wollongong and surrounds|23|<50|<50
2022-06-08|Bus|All - NSW|23|3700|4800
2022-06-08|Ferry|Other|0|<50|100
2022-06-08|Ferry|Sydney CBD|0|<50|<50
2022-06-08|Ferry|All - NSW|0|<50|100
2022-06-08|Ferry|Newcastle and surrounds|5|<50|<50
2022-06-08|Ferry|Other|5|<50|<50
2022-06-08|Ferry|Sydney CBD|5|<50|<50
2022-06-08|Ferry|All - NSW|5|<50|<50
2022-06-08|Ferry|Newcastle and surrounds|6|<50|<50
2022-06-08|Ferry|North Sydney|6|<50|<50
2022-06-08|Ferry|Other|6|400|100
2022-06-08|Ferry|Sydney CBD|6|100|200
2022-06-08|Ferry|All - NSW|6|500|300
2022-06-08|Ferry|Newcastle and surrounds|7|<50|100
2022-06-08|Ferry|North Sydney|7|100|100
2022-06-08|Ferry|Other|7|2000|200
2022-06-08|Ferry|Sydney CBD|7|200|1000
2022-06-08|Ferry|All - NSW|7|2300|1400
2022-06-08|Ferry|Newcastle and surrounds|8|<50|100
2022-06-08|Ferry|North Sydney|8|100|100
2022-06-08|Ferry|Other|8|1900|300
2022-06-08|Ferry|Parramatta|8|<50|<50
2022-06-08|Ferry|Sydney CBD|8|300|2300
2022-06-08|Ferry|All - NSW|8|2300|2800
2022-06-08|Ferry|Newcastle and surrounds|9|<50|<50
2022-06-08|Ferry|North Sydney|9|<50|<50
2022-06-08|Ferry|Other|9|600|400
2022-06-08|Ferry|Parramatta|9|<50|<50
2022-06-08|Ferry|Sydney CBD|9|600|1000
2022-06-08|Ferry|All - NSW|9|1200|1400
2022-06-08|Ferry|Newcastle and surrounds|10|<50|<50
2022-06-08|Ferry|North Sydney|10|<50|<50
2022-06-08|Ferry|Other|10|600|700
2022-06-08|Ferry|Parramatta|10|<50|<50
2022-06-08|Ferry|Sydney CBD|10|800|600
2022-06-08|Ferry|All - NSW|10|1400|1300
2022-06-08|Ferry|Newcastle and surrounds|11|<50|<50
2022-06-08|Ferry|North Sydney|11|<50|<50
2022-06-08|Ferry|Other|11|500|900
2022-06-08|Ferry|Parramatta|11|<50|100
2022-06-08|Ferry|Sydney CBD|11|1000|600
