Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,068246,2012,09,13.6,Y
IDCJAC0001,068246,2012,11,24.0,Y
IDCJAC0001,068246,2012,12,41.0,Y
IDCJAC0001,068246,2013,01,169.6,Y
IDCJAC0001,068246,2013,02,152.6,Y
IDCJAC0001,068246,2013,03,62.4,Y
IDCJAC0001,068246,2013,04,111.6,Y
IDCJAC0001,068246,2013,05,105.4,Y
IDCJAC0001,068246,2013,06,317.2,Y
IDCJAC0001,068246,2013,07,34.0,Y
IDCJAC0001,068246,2013,08,13.4,Y
IDCJAC0001,068246,2013,09,0.0,Y
IDCJAC0001,068246,2013,10,9.0,Y
IDCJAC0001,068246,2013,11,229.2,Y
IDCJAC0001,068246,2013,12,75.0,Y
IDCJAC0001,068246,2014,01,60.0,Y
IDCJAC0001,068246,2014,02,63.2,Y
IDCJAC0001,068246,2014,04,56.6,Y
IDCJAC0001,068246,2014,05,9.0,Y
IDCJAC0001,068246,2014,06,43.0,Y
IDCJAC0001,068246,2014,07,4.2,Y
IDCJAC0001,068246,2014,08,275.6,Y
IDCJAC0001,068246,2014,09,60.2,Y
IDCJAC0001,068246,2014,10,33.4,Y
IDCJAC0001,068246,2014,11,46.1,Y
IDCJAC0001,068246,2014,12,177.5,Y
IDCJAC0001,068246,2015,01,143.6,Y
IDCJAC0001,068246,2015,02,146.3,Y
IDCJAC0001,068246,2015,03,55.2,Y
IDCJAC0001,068246,2015,04,313.4,Y
IDCJAC0001,068246,2015,05,53.4,Y
IDCJAC0001,068246,2015,06,78.2,Y
IDCJAC0001,068246,2015,07,39.0,Y
IDCJAC0001,068246,2015,08,261.0,Y
IDCJAC0001,068246,2015,09,65.4,Y
IDCJAC0001,068246,2015,10,33.4,Y
IDCJAC0001,068246,2015,11,71.2,Y
IDCJAC0001,068246,2015,12,62.4,Y
IDCJAC0001,068246,2016,01,190.6,Y
IDCJAC0001,068246,2016,02,45.0,Y
IDCJAC0001,068246,2016,03,143.4,Y
IDCJAC0001,068246,2016,04,39.4,Y
IDCJAC0001,068246,2016,06,383.4,Y
IDCJAC0001,068246,2016,07,84.6,Y
IDCJAC0001,068246,2016,08,74.8,Y
IDCJAC0001,068246,2016,09,70.4,Y
IDCJAC0001,068246,2016,10,18.2,Y
IDCJAC0001,068246,2016,11,31.0,Y
IDCJAC0001,068246,2016,12,53.6,Y
IDCJAC0001,068246,2017,01,27.0,Y
IDCJAC0001,068246,2017,02,320.0,Y
IDCJAC0001,068246,2017,04,93.4,Y
IDCJAC0001,068246,2017,05,44.4,Y
IDCJAC0001,068246,2017,06,51.0,Y
IDCJAC0001,068246,2017,07,4.8,Y
IDCJAC0001,068246,2017,09,0.0,Y
IDCJAC0001,068246,2017,10,23.2,Y
IDCJAC0001,068246,2017,11,138.4,Y
IDCJAC0001,068246,2017,12,60.2,Y
IDCJAC0001,068246,2018,01,70.8,Y
IDCJAC0001,068246,2018,02,135.0,Y
IDCJAC0001,068246,2018,03,46.2,Y
IDCJAC0001,068246,2018,04,27.6,Y
IDCJAC0001,068246,2018,05,12.0,Y
IDCJAC0001,068246,2018,06,128.0,Y
IDCJAC0001,068246,2018,07,7.4,Y
IDCJAC0001,068246,2018,08,30.6,Y
IDCJAC0001,068246,2018,09,26.8,Y
IDCJAC0001,068246,2018,10,140.6,Y
IDCJAC0001,068246,2018,11,89.4,Y
IDCJAC0001,068246,2018,12,77.6,Y
IDCJAC0001,068246,2019,01,80.0,Y
IDCJAC0001,068246,2019,02,40.6,Y
IDCJAC0001,068246,2019,03,150.8,Y
IDCJAC0001,068246,2019,04,54.0,Y
IDCJAC0001,068246,2019,05,9.0,Y
IDCJAC0001,068246,2019,06,136.4,Y
IDCJAC0001,068246,2019,07,16.3,Y
IDCJAC0001,068246,2019,08,44.8,Y
IDCJAC0001,068246,2019,09,63.8,Y
IDCJAC0001,068246,2019,10,62.8,Y
IDCJAC0001,068246,2019,11,15.4,Y
IDCJAC0001,068246,2019,12,5.1,Y
IDCJAC0001,068246,2020,01,81.0,N
IDCJAC0001,068246,2020,02,332.8,Y
IDCJAC0001,068246,2020,03,63.8,Y
IDCJAC0001,068246,2020,04,86.8,N
IDCJAC0001,068246,2020,05,59.4,Y
IDCJAC0001,068246,2020,06,28.9,Y
IDCJAC0001,068246,2020,07,214.6,N
IDCJAC0001,068246,2020,08,161.4,Y
IDCJAC0001,068246,2020,10,92.0,N
IDCJAC0001,068246,2020,11,78.8,Y
IDCJAC0001,068246,2021,01,147.2,N
IDCJAC0001,068246,2021,02,86.2,Y
IDCJAC0001,068246,2021,03,266.2,Y
IDCJAC0001,068246,2021,04,13.2,Y
IDCJAC0001,068246,2021,05,188.8,Y
IDCJAC0001,068246,2021,06,51.6,N
IDCJAC0001,068246,2021,07,30.4,Y
IDCJAC0001,068246,2021,08,84.6,N
IDCJAC0001,068246,2021,09,40.0,Y
IDCJAC0001,068246,2021,10,67.8,N
IDCJAC0001,068246,2021,11,161.0,N
IDCJAC0001,068246,2021,12,112.6,N
IDCJAC0001,068246,2022,02,371.0,N
IDCJAC0001,068246,2022,04,186.8,N
IDCJAC0001,068246,2022,05,254.6,N
IDCJAC0001,068246,2022,06,2.8,Y
IDCJAC0001,068246,2022,08,26.8,Y
IDCJAC0001,068246,2022,10,302.0,N
IDCJAC0001,068246,2022,11,52.0,Y
IDCJAC0001,068246,2022,12,16.6,N
IDCJAC0001,068246,2023,01,130.6,Y
IDCJAC0001,068246,2023,02,99.4,N
IDCJAC0001,068246,2023,03,225.0,N
IDCJAC0001,068246,2023,04,109.6,Y
IDCJAC0001,068246,2023,05,34.1,Y
IDCJAC0001,068246,2023,06,10.0,Y
IDCJAC0001,068246,2023,07,11.6,Y
IDCJAC0001,068246,2023,08,149.4,Y
IDCJAC0001,068246,2023,09,43.0,Y
IDCJAC0001,068246,2023,10,46.0,Y
IDCJAC0001,068246,2023,11,234.6,Y
IDCJAC0001,068246,2023,12,168.4,Y
IDCJAC0001,068246,2024,01,39.8,Y
IDCJAC0001,068246,2024,02,113.8,Y
IDCJAC0001,068246,2024,03,96.0,Y
IDCJAC0001,068246,2024,04,212.2,Y
IDCJAC0001,068246,2024,05,330.3,Y
IDCJAC0001,068246,2024,06,249.2,Y
IDCJAC0001,068246,2024,07,68.8,Y
IDCJAC0001,068246,2024,08,22.9,Y
IDCJAC0001,068246,2024,09,42.8,Y
IDCJAC0001,068246,2024,10,30.2,Y
IDCJAC0001,068246,2024,11,113.4,Y
IDCJAC0001,068246,2024,12,44.6,N
IDCJAC0001,068246,2025,01,124.0,N
IDCJAC0001,068246,2025,02,23.8,N
IDCJAC0001,068246,2025,03,167.6,N
IDCJAC0001,068246,2025,04,74.8,N
IDCJAC0001,068246,2025,05,201.4,N
IDCJAC0001,068246,2025,06,3.2,N
