MonthYear,Station,Station_Type ,Entry_Exit,Trip
Aug-24,Chatswood  Station,Metro Shared,Entry,789931
Aug-24,Chatswood  Station,Metro Shared,Exit,817060
Aug-24,Cheltenham  Station,train,Entry,25175
Aug-24,Cheltenham  Station,train,Exit,20345
Aug-24,Cherrybrook  Station,metro,Entry,110374
Aug-24,Cherrybrook  Station,metro,Exit,103221
Aug-24,Chester Hill  Station,train,Entry,25363
Aug-24,Chester Hill  Station,train,Exit,24080
Aug-24,Circular Quay  Station,train,Entry,557691
Aug-24,Circular Quay  Station,train,Exit,569739
Aug-24,Clarendon  Station,train,Entry,1665
Aug-24,Clarendon  Station,train,Exit,1587
Aug-24,Clyde  Station,train,Entry,25476
Aug-24,Clyde  Station,train,Exit,24129
Aug-24,Coalcliff  Station,train,Entry,519
Aug-24,Coalcliff  Station,train,Exit,441
Aug-24,Cockle Creek  Station,train,Entry,1133
Aug-24,Cockle Creek  Station,train,Exit,1196
Aug-24,Coledale  Station,train,Entry,877
Aug-24,Coledale  Station,train,Exit,756
Aug-24,Como  Station,train,Entry,15120
Aug-24,Como  Station,train,Exit,13086
Aug-24,Concord West  Station,train,Entry,48318
Aug-24,Concord West  Station,train,Exit,45389
Aug-24,Coniston  Station,train,Entry,6079
Aug-24,Coniston  Station,train,Exit,5632
Aug-24,Corrimal  Station,train,Entry,3452
Aug-24,Corrimal  Station,train,Exit,2914
Aug-24,Cowan  Station,train,Entry,1235
Aug-24,Cowan  Station,train,Exit,1367
Aug-24,Cringila  Station,train,Entry,302
Aug-24,Cringila  Station,train,Exit,360
Aug-24,Cronulla  Station,train,Entry,59661
Aug-24,Cronulla  Station,train,Exit,58733
Aug-24,Crows Nest  Station,metro,Entry,120403
Aug-24,Crows Nest  Station,metro,Exit,123156
Aug-24,Croydon  Station,train,Entry,57901
Aug-24,Croydon  Station,train,Exit,52373
Aug-24,Dapto  Station,train,Entry,12130
Aug-24,Dapto  Station,train,Exit,10789
Aug-24,Denistone  Station,train,Entry,13674
Aug-24,Denistone  Station,train,Exit,12059
Aug-24,Domestic  Station,train,Entry,227501
Aug-24,Domestic  Station,train,Exit,199588
Aug-24,Doonside  Station,train,Entry,69303
Aug-24,Doonside  Station,train,Exit,62817
Aug-24,Dora Creek  Station,train,Entry,1021
Aug-24,Dora Creek  Station,train,Exit,885
Aug-24,Douglas Park  Station,train,Entry,512
Aug-24,Douglas Park  Station,train,Exit,464
Aug-24,Dulwich Hill  Station,train,Entry,53310
Aug-24,Dulwich Hill  Station,train,Exit,47668
Aug-24,Dundas  Station,train,Entry,2909
Aug-24,Dundas  Station,train,Exit,2789
Aug-24,Dungog  Station,train,Entry,487
Aug-24,Dungog  Station,train,Exit,419
Aug-24,East Hills  Station,train,Entry,19318
Aug-24,East Hills  Station,train,Exit,17930
Aug-24,East Maitland  Station,train,Entry,540
Aug-24,East Maitland  Station,train,Exit,513
Aug-24,East Richmond  Station,train,Entry,5087
Aug-24,East Richmond  Station,train,Exit,7648
Aug-24,Eastwood  Station,train,Entry,183743
Aug-24,Eastwood  Station,train,Exit,185924
Aug-24,Edgecliff  Station,train,Entry,196212
Aug-24,Edgecliff  Station,train,Exit,188380
Aug-24,Edmondson Park  Station,train,Entry,103982
Aug-24,Edmondson Park  Station,train,Exit,99577
Aug-24,Emu Plains  Station,train,Entry,24701
Aug-24,Emu Plains  Station,train,Exit,22954
Aug-24,Engadine  Station,train,Entry,28960
Aug-24,Engadine  Station,train,Exit,26990
Aug-24,Epping  Station,Metro Shared,Entry,368524
Aug-24,Epping  Station,Metro Shared,Exit,361340
Aug-24,Erskineville  Station,train,Entry,68022
Aug-24,Erskineville  Station,train,Exit,61961
Aug-24,Exeter  Station,train,Entry,114
Aug-24,Exeter  Station,train,Exit,77
Aug-24,Fairfield  Station,train,Entry,149369
Aug-24,Fairfield  Station,train,Exit,144009
Aug-24,Fairy Meadow  Station,train,Entry,2895
Aug-24,Fairy Meadow  Station,train,Exit,2515
Aug-24,Fassifern  Station,train,Entry,9416
Aug-24,Fassifern  Station,train,Exit,8227
Aug-24,Faulconbridge  Station,train,Entry,2131
Aug-24,Faulconbridge  Station,train,Exit,1967
Aug-24,Flemington  Station,train,Entry,135950
Aug-24,Flemington  Station,train,Exit,130376
Aug-24,Gadigal  Station,metro,Entry,180855
Aug-24,Gadigal  Station,metro,Exit,181375
Aug-24,Gerringong  Station,train,Entry,1125
Aug-24,Gerringong  Station,train,Exit,1078
Aug-24,Glenbrook  Station,train,Entry,9226
Aug-24,Glenbrook  Station,train,Exit,8303
Aug-24,Glenfield  Station,train,Entry,136362
Aug-24,Glenfield  Station,train,Exit,128482
Aug-24,Gordon  Station,train,Entry,163899
Aug-24,Gordon  Station,train,Exit,159812
Aug-24,Gosford  Station,train,Entry,102739
Aug-24,Gosford  Station,train,Exit,101849
Aug-24,Goulburn  Station,train,Entry,1099
Aug-24,Goulburn  Station,train,Exit,853
Aug-24,Granville  Station,train,Entry,186957
Aug-24,Granville  Station,train,Exit,176245
Aug-24,Green Square  Station,train,Entry,268715
Aug-24,Green Square  Station,train,Exit,259370
Aug-24,Greta  Station,train,Entry,Less than 50
Aug-24,Greta  Station,train,Exit,Less than 50
Aug-24,Guildford  Station,train,Entry,76872
Aug-24,Guildford  Station,train,Exit,69105
Aug-24,Gymea  Station,train,Entry,45596
Aug-24,Gymea  Station,train,Exit,42334
Aug-24,Hamilton  Station,train,Entry,16288
Aug-24,Hamilton  Station,train,Exit,16224
Aug-24,Harris Park  Station,train,Entry,73481
Aug-24,Harris Park  Station,train,Exit,74629
Aug-24,Hawkesbury River  Station,train,Entry,6164
Aug-24,Hawkesbury River  Station,train,Exit,5954
Aug-24,Hazelbrook  Station,train,Entry,6265
Aug-24,Hazelbrook  Station,train,Exit,5907
Aug-24,Heathcote  Station,train,Entry,12362
Aug-24,Heathcote  Station,train,Exit,11753
Aug-24,Helensburgh  Station,train,Entry,9572
Aug-24,Helensburgh  Station,train,Exit,8873
Aug-24,Hexham  Station,train,Entry,183
Aug-24,Hexham  Station,train,Exit,192
Aug-24,High Street  Station,train,Entry,322
Aug-24,High Street  Station,train,Exit,397
Aug-24,Hilldale  Station,train,Entry,Less than 50
Aug-24,Hilldale  Station,train,Exit,Less than 50
Aug-24,Hills Showground  Station,metro,Entry,92188
Aug-24,Hills Showground  Station,metro,Exit,88476
Aug-24,Holsworthy  Station,train,Entry,70889
Aug-24,Holsworthy  Station,train,Exit,66684
Aug-24,Homebush  Station,train,Entry,96470
Aug-24,Homebush  Station,train,Exit,88539
Aug-24,Hornsby  Station,train,Entry,304767
Aug-24,Hornsby  Station,train,Exit,310063
Aug-24,Hurlstone Park  Station,train,Entry,27867
Aug-24,Hurlstone Park  Station,train,Exit,24788
Aug-24,Hurstville  Station,train,Entry,498484
Aug-24,Hurstville  Station,train,Exit,507266
Aug-24,Ingleburn  Station,train,Entry,74441
Aug-24,Ingleburn  Station,train,Exit,73456
Aug-24,International  Station,train,Entry,134970
Aug-24,International  Station,train,Exit,129084
Aug-24,Jannali  Station,train,Entry,57321
Aug-24,Jannali  Station,train,Exit,54113
Aug-24,Katoomba  Station,train,Entry,34058
Aug-24,Katoomba  Station,train,Exit,34400
Aug-24,Kellyville  Station,metro,Entry,97819
Aug-24,Kellyville  Station,metro,Exit,95643
Aug-24,Kembla Grange  Station,train,Entry,176
Aug-24,Kembla Grange  Station,train,Exit,189
Aug-24,Kiama  Station,train,Entry,14033
Aug-24,Kiama  Station,train,Exit,13650
Aug-24,Killara  Station,train,Entry,48145
Aug-24,Killara  Station,train,Exit,45157
Aug-24,Kings Cross  Station,train,Entry,334982
Aug-24,Kings Cross  Station,train,Exit,349306
Aug-24,Kingsgrove  Station,train,Entry,49218
Aug-24,Kingsgrove  Station,train,Exit,46462
Aug-24,Kingswood  Station,train,Entry,55436
Aug-24,Kingswood  Station,train,Exit,51033
Aug-24,Kirrawee  Station,train,Entry,42312
Aug-24,Kirrawee  Station,train,Exit,40713
Aug-24,Kogarah  Station,train,Entry,273842
Aug-24,Kogarah  Station,train,Exit,264325
Aug-24,Koolewong  Station,train,Entry,1548
Aug-24,Koolewong  Station,train,Exit,1186
Aug-24,Kotara  Station,train,Entry,1449
Aug-24,Kotara  Station,train,Exit,1755
Aug-24,Lakemba  Station,train,Entry,95543
Aug-24,Lakemba  Station,train,Exit,92630
Aug-24,Lapstone  Station,train,Entry,1906
Aug-24,Lapstone  Station,train,Exit,1631
Aug-24,Lawson  Station,train,Entry,3354
Aug-24,Lawson  Station,train,Exit,3168
Aug-24,Leightonfield  Station,train,Entry,5417
Aug-24,Leightonfield  Station,train,Exit,5215
Aug-24,Leppington  Station,train,Entry,101366
Aug-24,Leppington  Station,train,Exit,96417
Aug-24,Leumeah  Station,train,Entry,61122
Aug-24,Leumeah  Station,train,Exit,57913
Aug-24,Leura  Station,train,Entry,9547
Aug-24,Leura  Station,train,Exit,7767
Aug-24,Lewisham  Station,train,Entry,63407
Aug-24,Lewisham  Station,train,Exit,57600
Aug-24,Lidcombe  Station,train,Entry,348596
Aug-24,Lidcombe  Station,train,Exit,338934
Aug-24,Linden  Station,train,Entry,359
Aug-24,Linden  Station,train,Exit,265
Aug-24,Lindfield  Station,train,Entry,94093
Aug-24,Lindfield  Station,train,Exit,92612
Aug-24,Lisarow  Station,train,Entry,3108
Aug-24,Lisarow  Station,train,Exit,2855
Aug-24,Lithgow  Station,train,Entry,5245
Aug-24,Lithgow  Station,train,Exit,4617
Aug-24,Liverpool  Station,train,Entry,230258
Aug-24,Liverpool  Station,train,Exit,228942
Aug-24,Lochinvar  Station,train,Entry,Less than 50
Aug-24,Lochinvar  Station,train,Exit,Less than 50
Aug-24,Loftus  Station,train,Entry,9504
Aug-24,Loftus  Station,train,Exit,8750
Aug-24,Lysaghts  Station,train,Entry,Less than 50
Aug-24,Lysaghts  Station,train,Exit,Less than 50
Aug-24,Macarthur  Station,train,Entry,80209
Aug-24,Macarthur  Station,train,Exit,78840
Aug-24,Macdonaldtown  Station,train,Entry,24602
Aug-24,Macdonaldtown  Station,train,Exit,24026
Aug-24,Macquarie Fields  Station,train,Entry,22390
Aug-24,Macquarie Fields  Station,train,Exit,20370
Aug-24,Macquarie Park  Station,metro,Entry,101326
Aug-24,Macquarie Park  Station,metro,Exit,102214
Aug-24,Macquarie University  Station,metro,Entry,390162
Aug-24,Macquarie University  Station,metro,Exit,396979
Aug-24,Maitland  Station,train,Entry,9680
Aug-24,Maitland  Station,train,Exit,8729
Aug-24,Marayong  Station,train,Entry,26614
Aug-24,Marayong  Station,train,Exit,24161
Aug-24,Marrickville  Station,train,Entry,90990
Aug-24,Marrickville  Station,train,Exit,88551
Aug-24,Martin Place  Station,Metro Shared,Entry,570421
Aug-24,Martin Place  Station,Metro Shared,Exit,634081
Aug-24,Martins Creek  Station,train,Entry,Less than 50
Aug-24,Martins Creek  Station,train,Exit,Less than 50
Aug-24,Marulan  Station,train,Entry,51
Aug-24,Marulan  Station,train,Exit,Less than 50
Aug-24,Mascot  Station,train,Entry,418254
Aug-24,Mascot  Station,train,Exit,420434
Aug-24,Meadowbank  Station,train,Entry,129586
Aug-24,Meadowbank  Station,train,Exit,118511
Aug-24,Medlow Bath  Station,train,Entry,1068
Aug-24,Medlow Bath  Station,train,Exit,915
Aug-24,Menangle  Station,train,Entry,298
Aug-24,Menangle  Station,train,Exit,302
Aug-24,Menangle Park  Station,train,Entry,428
Aug-24,Menangle Park  Station,train,Exit,508
Aug-24,Merrylands  Station,train,Entry,159131
Aug-24,Merrylands  Station,train,Exit,155646
Aug-24,Metford  Station,train,Entry,1579
Aug-24,Metford  Station,train,Exit,1616
Aug-24,Milsons Point  Station,train,Entry,180520
Aug-24,Milsons Point  Station,train,Exit,187968
Aug-24,Mindaribba  Station,train,Entry,Less than 50
Aug-24,Mindaribba  Station,train,Exit,Less than 50
Aug-24,Minnamurra  Station,train,Entry,2534
Aug-24,Minnamurra  Station,train,Exit,2225
Aug-24,Minto  Station,train,Entry,72482
Aug-24,Minto  Station,train,Exit,69298
Aug-24,Miranda  Station,train,Entry,86212
Aug-24,Miranda  Station,train,Exit,89256
Aug-24,Mittagong  Station,train,Entry,4079
Aug-24,Mittagong  Station,train,Exit,3734
Aug-24,Morisset  Station,train,Entry,16222
Aug-24,Morisset  Station,train,Exit,14891
Aug-24,Mortdale  Station,train,Entry,81037
Aug-24,Mortdale  Station,train,Exit,74295
Aug-24,Moss Vale  Station,train,Entry,4239
Aug-24,Moss Vale  Station,train,Exit,3641
Aug-24,Mount Colah  Station,train,Entry,14025
Aug-24,Mount Colah  Station,train,Exit,12797
Aug-24,Mount Druitt  Station,train,Entry,160523
Aug-24,Mount Druitt  Station,train,Exit,159598
Aug-24,Mount Kuring-gai  Station,train,Entry,5161
Aug-24,Mount Kuring-gai  Station,train,Exit,5311
Aug-24,Mount Victoria  Station,train,Entry,2743
Aug-24,Mount Victoria  Station,train,Exit,2728
Aug-24,Mulgrave  Station,train,Entry,6249
Aug-24,Mulgrave  Station,train,Exit,6006
Aug-24,Museum  Station,train,Entry,267206
Aug-24,Museum  Station,train,Exit,285061
Aug-24,Muswellbrook  Station,train,Entry,622
Aug-24,Muswellbrook  Station,train,Exit,434
Aug-24,Narara  Station,train,Entry,5126
Aug-24,Narara  Station,train,Exit,4438
Aug-24,Narwee  Station,train,Entry,42427
Aug-24,Narwee  Station,train,Exit,39034
Aug-24,Newcastle Interchange Station,train,Entry,41388
Aug-24,Newcastle Interchange Station,train,Exit,41286
Aug-24,Newtown  Station,train,Entry,242403
Aug-24,Newtown  Station,train,Exit,274942
Aug-24,Niagara Park  Station,train,Entry,2451
Aug-24,Niagara Park  Station,train,Exit,2346
Aug-24,Normanhurst  Station,train,Entry,29299
Aug-24,Normanhurst  Station,train,Exit,23262
Aug-24,North Ryde  Station,metro,Entry,77636
Aug-24,North Ryde  Station,metro,Exit,77988
Aug-24,North Strathfield  Station,train,Entry,64600
Aug-24,North Strathfield  Station,train,Exit,63956
Aug-24,North Sydney  Station,train,Entry,458031
Aug-24,North Sydney  Station,train,Exit,478635
Aug-24,North Wollongong  Station,train,Entry,34733
Aug-24,North Wollongong  Station,train,Exit,34146
Aug-24,Norwest  Station,metro,Entry,70150
